catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
agency for healthcare research and quality|agency for health care policy and research,agency for healthcare research and quality|agency for health care policy and research,Agency for Healthcare Research and Quality,US Executive Branch,Department of Health and Human Services,,,ahcpr.gov|ahrq.gov|guideline.gov|guidelines.gov,ahrq,United States,,,,,,,
assistant secretary for planning and evaluation,assistant secretary for planning and evaluation,Assistant Secretary for Planning and Evaluation,US Executive Branch,Department of Health and Human Services,,,youth.gov,,United States,,,,,,,
assistant secretary for preparedness and response,assistant secretary for preparedness and response,Assistant Secretary for Preparedness and Response,US Executive Branch,Department of Health and Human Services,,,phe.gov,,United States,,,,,,,
centers for disease control and prevention|cdcgov,centers for disease control and prevention|cdcgov,Centers For Disease Control and Prevention,US Executive Branch,Department of Health and Human Services,,,cdc.gov,cdc,United States,,,,,,,
centers for disease control and prevention,centers for disease control and prevention,Centers for Disease Control and Prevention,US Executive Branch,Department of Health and Human Services,,,cdcpartners.gov|flu.gov|niosh.gov|usbm.gov,,United States,,,,,,,
centers for medicare & medicaid services|centers for medicare and medicaid services,centers for medicare & medicaid services|centers for medicare and medicaid services,Centers for Medicare & Medicaid Services,US Executive Branch,Department of Health and Human Services,,,cms.gov|cuidadodesalud.gov|healthcare.gov|insurekidsnow.gov|medicaid.gov|medicare.gov,cms,United States,,,,,,,
centers for medicare and medicaid services,centers for medicare and medicaid services,Centers for Medicare and Medicaid Services,US Executive Branch,Department of Health and Human Services,,,hc.gov|mymedicare.gov,,United States,,,,,,,
department of health and human services|us department of health & human services|health and human services department,department of health and human services|us department of health & human services|health and human services department,Department of Health and Human Services,US Executive Branch,Department of Health and Human Services,,,aging.gov|fatherhood.gov|idealab.gov|longtermcare.gov|opioids.gov|selectagents.gov|stopbullying.gov|therealcost.gov|thisfreelife.gov|vaccines.gov,hhs,United States,,,,,,,
department of health and human services,department of health and human services,Department of Health and Human Services,US Executive Branch,Department of Health and Human Services,,,grants.gov,,United States,,,,,,,
dept of health and human services,dept of health and human services,Dept of Health and Human Services,US Executive Branch,Department of Health and Human Services,,,betobaccofree.gov,,United States,,,,,,,
dept. of health and human services,dept. of health and human services,Dept. of Health and Human Services,US Executive Branch,Department of Health and Human Services,,,tobacco.gov,,United States,,,,,,,
health and human services,health and human services,Health and Human Services,US Executive Branch,Department of Health and Human Services,,,acf.gov|afterschool.gov|agingstats.gov|aids.gov|childwelfare.gov|dhhs.gov|endingthedocumentgame.gov|everytrycounts.gov|foodsafety.gov|fruitsandveggiesmatter.gov|grantsolutions.gov|health.gov|hhs.gov|hiv.gov|medicalcountermeasures.gov|pandemicflu.gov|stopalcoholabuse.gov,,United States,,,,,,,
health and human services,health and human services,Health and Human Services,US Executive Branch,Department of Health and Human Services,,,bam.gov,,United States,,,,,,,
health and human services,health and human services,Health and Human Services,US Executive Branch,Department of Health and Human Services,,,globalhealth.gov|organdonor.gov|usphs.gov|thecoolspot.gov,,United States,,,,,,,
health and human services,health and human services,Health and Human Services,US Executive Branch,Department of Health and Human Services,,,fitness.gov|hhsoig.gov|surgeongeneral.gov,,United States,,,,,,,
health and human services administration on aging,health and human services administration on aging,"Health and Human Services, Administration on Aging",US Executive Branch,Department of Health and Human Services,,,eldercare.gov,,United States,,,,,,,
health resources and services administration,health resources and services administration,Health Resources and Services Administration,US Executive Branch,Department of Health and Human Services,,,donaciondeorganos.gov|hrsa.gov,,United States,,,,,,,
indian health service / office of it,indian health service / office of it,Indian Health Service / Office of IT,US Executive Branch,Department of Health and Human Services,,,ihs.gov,,United States,,,,,,,
medicaid and chip payment and access commission,medicaid and chip payment and access commission,Medicaid and CHIP Payment and Access Commission,US Executive Branch,Department of Health and Human Services,,,macpac.gov,macpac,United States,,,,,,,
medicare payment advisory commission,medicare payment advisory commission,Medicare Payment Advisory Commission,US Executive Branch,Department of Health and Human Services,,,medpac.gov,medpac,United States,,,,,,,
national cancer institute,national cancer institute,National Cancer Institute,US Executive Branch,Department of Health and Human Services,,,cancer.gov,nci,United States,,,,,,,
national center for advancing translational sciences,national center for advancing translational sciences,National Center for Advancing Translational Sciences,US Executive Branch,Department of Health and Human Services,,,tox21.gov,,United States,,,,,,,
national institute on aging,national institute on aging,National Institute on Aging,US Executive Branch,Department of Health and Human Services,,,cerebrosano.gov,,United States,,,,,,,
national institute on aging national institutes of health,national institute on aging national institutes of health,"National Institute on Aging, National Institutes of Health",US Executive Branch,Department of Health and Human Services,,,alzheimers.gov|brainhealth.gov,,United States,,,,,,,
national institute on drug abuse,national institute on drug abuse,National Institute on Drug Abuse,US Executive Branch,Department of Health and Human Services,,,drugabuse.gov,,United States,,,,,,,
national institutes of diabetes and digestive and kidney diseases,national institutes of diabetes and digestive and kidney diseases,National Institutes of Diabetes and Digestive and Kidney Diseases,US Executive Branch,Department of Health and Human Services,,,diabetescommittee.gov,nidkk,United States,,,,,,,
national institute of health|national institutes of health,national institute of health|national institutes of health,National Institutes of Health,US Executive Branch,Department of Health and Human Services,,,edison.gov|genome.gov|iedison.gov|nih.gov|mail.nih.gov,nih,United States,,,,,,,
national institutes of health national heart lung & blood institute,national institutes of health national heart lung & blood institute,"National Institutes of Health/National Heart, Lung & Blood Institute",US Executive Branch,Department of Health and Human Services,,,hearttruth.gov,,United States,,,,,,,
national library of medicine,national library of medicine,National Library of Medicine,US Executive Branch,Department of Health and Human Services,,,clinicaltrial.gov|clinicaltrials.gov|docline.gov|locatorplus.gov|medlineplus.gov|nlm.gov|nnlm.gov|pubmed.gov|mesh.gov,,United States,,,,,,,
niaaa,niaaa,NIAAA,US Executive Branch,Department of Health and Human Services,,,collegedrinkingprevention.gov,,United States,,,,,,,
office of disease prevention and health promotion,office of disease prevention and health promotion,Office of Disease Prevention and Health Promotion,US Executive Branch,Department of Health and Human Services,,,healthfinder.gov|healthypeople.gov,,United States,,,,,,,
office of public health and science office on women's health,office of public health and science office on women's health,"Office of Public Health and Science, Office on Women's Health",US Executive Branch,Department of Health and Human Services,,,girlshealth.gov|womenshealth.gov,,United States,,,,,,,
office of the national coordinator,office of the national coordinator,Office of the National Coordinator,US Executive Branch,Department of Health and Human Services,,,healthit.gov,,United States,,,,,,,
office of the secretary,office of the secretary,Office of the Secretary,US Executive Branch,Department of Health and Human Services,,,healthdata.gov|healthindicators.gov,,United States,,,,,,,
president's council on bioethics,president's council on bioethics,President's Council on Bioethics,US Executive Branch,Department of Health and Human Services,,,bioethics.gov,,United States,,,,,,,
program support center,program support center,Program Support Center,US Executive Branch,Department of Health and Human Services,,,psc.gov,,United States,,,,,,,
program support center/isms,program support center/isms,Program Support Center/ISMS,US Executive Branch,Department of Health and Human Services,,,hhsops.gov,,United States,,,,,,,
the department of health and human services,the department of health and human services,The Department of Health and Human Services,US Executive Branch,Department of Health and Human Services,,,freshempire.gov,,United States,,,,,,,
US food and drug administration,US food and drug administration,US Food and Drug Administration,US Executive Branch,Department of Health and Human Services,,,fda.gov,,United States,,,,,,,
substance abuse and mental health services administration,substance abuse and mental health services administration,US HHS Substance Abuse and Mental Health Services Administration,US Executive Branch,Department of Health and Human Services,,,samhsa.gov,samhsa,,,,,,,,
department of homeland security|homeland security department,department of homeland security|homeland security department,Department of Homeland Security,US Executive Branch,Department of Homeland Security,,,cisa.gov|cyber.gov|cybersecurity.gov|dhs.gov|homelandsecurity.gov|readybusiness.gov|schoolsafety.gov,dhs,United States,,,,,,,
department of homeland security science & technology,department of homeland security science & technology,Department of Homeland Security Science & Technology,US Executive Branch,Department of Homeland Security,,,firstresponder.gov,,United States,,,,,,,
"department of homeland security, office of the chief information officer","department of homeland security, office of the chief information officer","Department of Homeland Security, Office of the Chief Information Officer",US Executive Branch,Department of Homeland Security,,,niem.gov,,United States,,,,,,,
federal emergency management agency,federal emergency management agency,Federal Emergency Management Agency,US Executive Branch,Department of Homeland Security,,,disasterassistance.gov,fema,United States,,,,,,,
federal law enforcement training center,federal law enforcement training center,Federal Law Enforcement Training Center,US Executive Branch,Department of Homeland Security,,,fleta.gov|fletc.gov,fletc,United States,,,,,,,
fema,fema,FEMA,US Executive Branch,Department of Homeland Security,,,fema.gov,,United States,,,,,,,
fema,fema,FEMA,US Executive Branch,Department of Homeland Security,,,floodsmart.gov,,United States,,,,,,,
national marine center,national marine center,National Marine Center,US Executive Branch,Department of Homeland Security,,,nmsc.gov,,United States,,,,,,,
office for domestic preparedness,office for domestic preparedness,Office for Domestic Preparedness,US Executive Branch,Department of Homeland Security,,,firstrespondertraining.gov,,United States,,,,,,,
office of public affairs,office of public affairs,Office of Public Affairs,US Executive Branch,Department of Homeland Security,,,listo.gov|ready.gov,,United States,,,,,,,
science and technology safety act,science and technology safety act,Science and Technology Safety Act,US Executive Branch,Department of Homeland Security,,,safetyact.gov,,United States,,,,,,,
transportation security administration,transportation security administration,Transportation Security Administration,US Executive Branch,Department of Homeland Security,,,tsa.gov,,United States,,,,,,,
tsa cpo,tsa cpo,TSA CPO,US Executive Branch,Department of Homeland Security,,,flightschoolcandidates.gov,,United States,,,,,,,
u. s. coast guard tiscom,u. s. coast guard tiscom,U. S. Coast Guard TISCOM,US Executive Branch,Department of Homeland Security,,,uscg.gov,,United States,,,,,,,
united states secret service,united states secret service,United States Secret Service,US Executive Branch,Department of Homeland Security,,,cpnireporting.gov|secretservice.gov|usss.gov,,United States,,,,,,,
US customs and border protection,US customs and border protection,US Customs and Border Protection,US Executive Branch,Department of Homeland Security,,,cbp.gov|evus.gov|globalentry.gov,,United States,,,,,,,
US immigration and customs enforcement,US immigration and customs enforcement,US Immigration and Customs Enforcement,US Executive Branch,Department of Homeland Security,,,ice.gov,,United States,,,,,,,
us-cert,us-cert,US-CERT,US Executive Branch,Department of Homeland Security,,,us-cert.gov,,United States,,,,,,,
us-visit,us-visit,US-VISIT,US Executive Branch,Department of Homeland Security,,,biometrics.gov,,United States,,,,,,,
uscis,uscis,USCIS,US Executive Branch,Department of Homeland Security,,,e-verify.gov|everify.gov|uscis.gov,,United States,,,,,,,
department of housing and urban development|housing and urban development department of,department of housing and urban development|housing and urban development department of,Department of Housing and Urban Development,US Executive Branch,Department of Housing and Urban Development,,,disasterhousing.gov|nationalhousing.gov|nationalhousinglocator.gov|nhl.gov|nls.gov|opportunityzones.gov,hud,United States,,,,,,,
dept. of housing and urban development,dept. of housing and urban development,Dept. of Housing and Urban Development (HUD),US Executive Branch,Department of Housing and Urban Development,,,fha.gov,,United States,,,,,,,
government national mortgage association,government national mortgage association,Government National Mortgage Association,US Executive Branch,Department of Housing and Urban Development,,,ginniemae.gov,,United States,,,,,,,
office of inspector general,office of inspector general,Office of Inspector General,US Executive Branch,Department of Housing and Urban Development,,,hudoig.gov,,United States,,,,,,,
u. s. department of housing & urban development,u. s. department of housing & urban development,U. S. Department of Housing & Urban Development,US Executive Branch,Department of Housing and Urban Development,,,homesales.gov,,United States,,,,,,,
"US department of housing and urban development, office of policy development and research","US department of housing and urban development, office of policy development and research","US Department of Housing and Urban Development, Office of Policy Development and Research",US Executive Branch,Department of Housing and Urban Development,,,huduser.gov,,United States,,,,,,,
web master pulic affair,web master pulic affair,Web Master Pulic Affair,US Executive Branch,Department of Housing and Urban Development,,,hud.gov,,United States,,,,,,,
"bureau of alcohol, tobacco, firearms, and explosives","bureau of alcohol, tobacco, firearms, and explosives","Bureau of Alcohol, Tobacco, Firearms, and Explosives",US Executive Branch,Department of Justice,,,atf.gov|learnatf.gov|aftonline.gov,,United States,,,,,,,
"criminal division, asset forfeiture and money laundering section","criminal division, asset forfeiture and money laundering section","Criminal Division, Asset Forfeiture and Money Laundering Section",US Executive Branch,Department of Justice,,,forfeiture.gov,afmls,United States,,,,,,,
department of justice|justice department,department of justice|justice department,Department of Justice,US Executive Branch,Department of Justice,,,ada.gov|dea.gov|epic.gov|lep.gov|stopfraud.gov|usdoj.gov|usmarshals.gov,doj,United States,,,,,,,
department of justice,department of justice,Department of Justice,US Executive Branch,Department of Justice,,,cybercrime.gov,,United States,,,,,,,
department of justice,department of justice,Department of Justice,US Executive Branch,Department of Justice,,,deaecom.gov,,United States,,,,,,,
"department of justice, office of e-government","department of justice, office of e-government","Department of Justice, Office of e-Government",US Executive Branch,Department of Justice,,,foia.gov,,United States,,,,,,,
drug enforcement administration,drug enforcement administration,Drug Enforcement Administration,US Executive Branch,Department of Justice,,,campusdrugprevention.gov,,United States,,,,,,,
fbi cjis,fbi cjis,FBI CJIS,US Executive Branch,Department of Justice,,,biometriccoe.gov,,United States,,,,,,,
federal bureau of investigation,federal bureau of investigation,Federal Burearu of Investigation,US Executive Branch,Department of Justice,,,fbi.gov,fbi,United States,,,,,,,
federal bureau of investigation,federal bureau of investigation,Federal Bureau of Investigation,US Executive Branch,Department of Justice,,,cjis.gov|fbijobs.gov|malwareinvestigator.gov,,United States,,,,,,,
federal bureau of prisons,federal bureau of prisons,Federal Bureau of Prisons,US Executive Branch,Department of Justice,,,bop.gov|reentry.gov,,United States,,,,,,,
federal bureu of investigation,federal bureu of investigation,Federal Bureu of Investigation,US Executive Branch,Department of Justice,,,nicsezcheckfbi.gov,,United States,,,,,,,
federal prison industries,federal prison industries,Federal Prison Industries,US Executive Branch,Department of Justice,,,fpi.gov,,United States,,,,,,,
institute for intergovernmental research,institute for intergovernmental research,Institute for Intergovernmental Research,US Executive Branch,Department of Justice,,,nationalgangcenter.gov|nsopr.gov|ncirc.gov,,United States,,,,,,,
internet crime complaint center,internet crime complaint center,Internet Crime Complaint Center,US Executive Branch,Department of Justice,,,ic3.gov,,United States,,,,,,,
justice data center,justice data center,Justice Data Center,US Executive Branch,Department of Justice,,,projectsafeneighborhoods.gov,,United States,,,,,,,
national virtual translation center,national virtual translation center,National Virtual Translation Center,US Executive Branch,Department of Justice,,,nvtc.gov,,United States,,,,,,,
office of justice programs,office of justice programs,Office of Justice Programs,US Executive Branch,Department of Justice,,,bja.gov|bjs.gov|nij.gov,,United States,,,,,,,
rcfl,rcfl,RCFL,US Executive Branch,Department of Justice,,,rcfl.gov,,United States,,,,,,,
u. s. department of justice,u. s. department of justice,U. S. Department of Justice,US Executive Branch,Department of Justice,,,vcf.gov,,United States,,,,,,,
"u. s. department of justice, office of justice programs","u. s. department of justice, office of justice programs","U. S. Department of Justice, Office of Justice Programs",US Executive Branch,Department of Justice,,,namus.gov,,United States,,,,,,,
u.s immigration and customs enforcement,u.s immigration and customs enforcement,U.S Immigration and Customs Enforcement,US Executive Branch,Department of Justice,,,iprcenter.gov,,United States,,,,,,,
unicor,unicor,Unicor,US Executive Branch,Department of Justice,,,unicor.gov,,United States,,,,,,,
united states department of justice,united states department of justice,United States Department of Justice,US Executive Branch,Department of Justice,,,ncjrs.gov,,United States,,,,,,,
