academic_terms,original_string,new_string,domains,country,as_of,
shanghai ouhua vocational technical college,shanghai ouhua vocational technical college,shanghai ouhua vocational technical college,shouhua.net.cn,China,2021-08-24,
shanghai sanda university,shanghai sanda university,shanghai sanda university,sandau.edu.cn,China,2021-08-24,
shanghai second medical university,shanghai second medical university,shanghai second medical university,shsmu.edu.cn,China,2021-08-24,
shanghai second polytechnic university,shanghai second polytechnic university,shanghai second polytechnic university,shspu.edu.cn,China,2021-08-24,
shanghai sipo polytechnic,shanghai sipo polytechnic,shanghai sipo polytechnic,sh-sipopolytechnic.com,China,2021-08-24,
shanghai television university,shanghai television university,shanghai television university,shtvu.edu.cn,China,2021-08-24,
shanghai tiedao university,shanghai tiedao university,shanghai tiedao university,shtdu.edu.cn,China,2021-08-24,
shanghai university,shanghai university,shanghai university,shu.edu.cn,China,2021-08-24,
shanghai university of engineering science,shanghai university of engineering science,shanghai university of engineering science,sues.edu.cn,China,2021-08-24,
shanghai university of finance and economics,shanghai university of finance and economics,shanghai university of finance and economics,shufe.edu.cn,China,2021-08-24,
shanghai university of science and technology,shanghai university of science and technology,shanghai university of science and technology,usst.edu.cn,China,2021-08-24,
shanghai university of traditional chinese medicine and pharmacology,shanghai university of traditional chinese medicine and pharmacology,shanghai university of traditional chinese medicine and pharmacology,shutcm.edu.cn,China,2021-08-24,
shanghai tech|shanghaitech,shanghai tech|shanghaitech,shanghaitech university,shanghaitech.edu.cn,China,2021-08-24,
shantou university,shantou university,shantou university,stu.edu.cn,China,2021-08-24,
shanxi agricultural university,shanxi agricultural university,shanxi agricultural university,sxau.edu.cn,China,2021-08-24,
shanxi normal university,shanxi normal university,shanxi normal university,snnu.edu.cn,China,2021-08-24,
shanxi university,shanxi university,shanxi university,sxu.edu.cn,China,2021-08-24,
shaoguan university,shaoguan university,shaoguan university,sgu.edu.cn,China,2021-08-24,
shenyang institute of chemical technology,shenyang institute of chemical technology,shenyang institute of chemical technology,syict.edu.cn,China,2021-08-24,
shenyang jianzhu university,shenyang jianzhu university,shenyang jianzhu university,sjzu.edu.cn,China,2021-08-24,
shenyang pharmaceutical university,shenyang pharmaceutical university,shenyang pharmaceutical university,syphu.edu.cn,China,2021-08-24,
shenyang polytechnic university,shenyang polytechnic university,shenyang polytechnic university,sypu.edu.cn,China,2021-08-24,
shenyang university,shenyang university,shenyang university,syu.edu.cn,China,2021-08-24,
shenzhen university,shenzhen university,shenzhen university,szu.edu.cn,China,2021-08-24,
shihezi university,shihezi university,shihezi university,shzu.edu.cn,China,2021-08-24,
sichuan agricultural university,sichuan agricultural university,sichuan agricultural university,sicau.edu.cn,China,2021-08-24,
sichuan fine art institute,sichuan fine art institute,sichuan fine art institute,zsb.scfai.edu.cn,China,2021-08-24,
sichuan international studies university,sichuan international studies university,sichuan international studies university,sisu.edu.cn,China,2021-08-24,
sichuan normal university,sichuan normal university,sichuan normal university,sicnu.edu.cn,China,2021-08-24,
sichuan university,sichuan university,sichuan university,scu.edu.cn,China,2021-08-24,
south china agricultural university,south china agricultural university,south china agricultural university,scau.edu.cn,China,2021-08-24,
south china construction university,south china construction university,south china construction university,sccu.edu.cn,China,2021-08-24,
south china normal university,south china normal university,south china normal university,scnu.edu.cn,China,2021-08-24,
south china university,south china university,south china university,usc.edu.cn,China,2021-08-24,
south china university of technology|scut,south china university of technology|scut,south china university of technology,scut.edu.cn,China,2021-08-24,
south university of science and technology of china,south university of science and technology of china,south university of science and technology of china,sustc.edu.cn,China,2021-08-24,
south west university yucai college,south west university yucai college,south west university yucai college,swuyc.edu.cn,China,2021-08-24,
southeast university,southeast university,southeast university,seu.edu.cn,China,2021-08-24,
southern university of science and technology|sustech,southern university of science and technology|sustech,southern university of science and technology,sustech.edu.cn,China,2021-08-24,
southern medial university,southern medial university,southern medial university,fimmu.edu.cn,China,2021-08-24,
southern yangtze university,southern yangtze university,southern yangtze university,sytu.edu.cn,China,2021-08-24,
southwest agricultural university,southwest agricultural university,southwest agricultural university,swau.edu.cn,China,2021-08-24,
southwest forestry university,southwest forestry university,southwest forestry university,swfc.edu.cn,China,2021-08-24,
southwest jiaotong university,southwest jiaotong university,southwest jiaotong university,swjtu.edu.cn,China,2021-08-24,
southwest petroleum university,southwest petroleum university,southwest petroleum university,swpu.edu.cn,China,2021-08-24,
southwest university,southwest university,southwest university,swnu.edu.cn,China,2021-08-24,
southwest university of finance and economics|southwestern university of finance and economics,southwest university of finance and economics|southwestern university of finance and economics,southwestern university of finance and economics,swufe.edu.cn,China,2021-08-24,
southwest university of nationalities,southwest university of nationalities,southwest university of nationalities,swun.edu.cn,China,2021-08-24,
southwest university of political science and law,southwest university of political science and law,southwest university of political science and law,swupl.edu.cn,China,2021-08-24,
southwest university of science and technology,southwest university of science and technology,southwest university of science and technology,swust.edu.cn,China,2021-08-24,
sun yat sen university of medical sciences,sun yat sen university of medical sciences,sun yat sen university of medical sciences,gzsums.edu.cn,China,2021-08-24,
suzhou university,suzhou university,suzhou university,suda.edu.cn,China,2021-08-24,
taiyuan university of technology,taiyuan university of technology,taiyuan university of technology,tyut.edu.cn,China,2021-08-24,
taizhou college,taizhou college,taizhou college,tzc.edu.cn,China,2021-08-24,
the university of nottingham ningbo china,the university of nottingham ningbo china,the university of nottingham ningbo china,nottingham.edu.cn,China,2021-08-24,
tianjin academy of fine art,tianjin academy of fine art,tianjin academy of fine art,tjarts.edu.cn,China,2021-08-24,
tianjin medical university,tianjin medical university,tianjin medical university,tijmu.edu.cn,China,2021-08-24,
tianjin normal university,tianjin normal university,tianjin normal university,tjnu.edu.cn,China,2021-08-24,
tianjin open university,tianjin open university,tianjin open university,tjrtvu.edu.cn,China,2021-08-24,
tianjin polytechnic university,tianjin polytechnic university,tianjin polytechnic university,tjpu.edu.cn,China,2021-08-24,
tianjin university,tianjin university,tianjin university,tju.edu.cn,China,2021-08-24,
tianjin university of commerce,tianjin university of commerce,tianjin university of commerce,tjcu.edu.cn,China,2021-08-24,
tianjin university of finance and economics,tianjin university of finance and economics,tianjin university of finance and economics,tjufe.edu.cn,China,2021-08-24,
tianjin university of technology,tianjin university of technology,tianjin university of technology,tjut.edu.cn,China,2021-08-24,
tibet agricultural and animal husbandry college,tibet agricultural and animal husbandry college,tibet agricultural and animal husbandry college,xza.cn,China,2021-08-24,
tibet tibetan medical college,tibet tibetan medical college,tibet tibetan medical college,ttmc.edu.cn,China,2021-08-24,
tibet university,tibet university,tibet university,utibet.edu.cn,China,2021-08-24,
tibet university of nationalities,tibet university of nationalities,tibet university of nationalities,xzmy.edu.cn,China,2021-08-24,
tongji medical university,tongji medical university,tongji medical university,tjmu.edu.cn,China,2021-08-24,
tongji university,tongji university,tongji university,tongji.edu.cn,China,2021-08-24,
tsinghua university|tsinghuauniversity|tsinghua_university|tsinghuau|tsing hua university|tsinghua(?! [a-z]),tsinghua university|tsinghuauniversity|tsinghua_university|tsinghuau|tsing hua university|tsinghua,tsinghua university,tsinghua.edu.cn|mails.tsinghua.edu.cn|tuna.tsinghua.edu.cn|mail.tsinghua.edu.cn,China,2021-08-24,
university of electronic science and technology of china|uestc,university of electronic science and technology of china|uestc,university of electronic science and technology of china,uestc.edu.cn,China,2021-08-24,
university of hydraulic electric engineering,university of hydraulic electric engineering,university of hydraulic electric engineering,uheeyc.edu.cn,China,2021-08-24,
university of international business and economics,university of international business and economics,university of international business and economics,uibe.edu.cn,China,2021-08-24,
university of jinan,university of jinan,university of jinan,ujn.edu.cn,China,2021-08-24,
university of petroleum east china,university of petroleum east china,university of petroleum east china,hdpu.edu.cn,China,2021-08-24,
university of chinese academy of sciences|ucas,university of chinese academy of sciences|(?<![a-z])ucas(?![a-z]),university of chinese academy of sciences,ucas.ac.cn,China,2021-08-24,
university of science and technology beijing,university of science and technology beijing,university of science and technology beijing,ustb.edu.cn,China,2021-08-24,
university of science and technology of china|ustc,university of science and technology of china|ustc,university of science and technology of china,ustc.edu.cn|mail.ustc.edu.cn,China,2021-08-24,
urumqi vocational university,urumqi vocational university,urumqi vocational university,uvu.edu.cn,China,2021-08-24,
wenzhou medical college,wenzhou medical college,wenzhou medical college,wzmu.net,China,2021-08-24,
wenzhou university,wenzhou university,wenzhou university,wzu.edu.cn,China,2021-08-24,
west china university of medical sciences,west china university of medical sciences,west china university of medical sciences,wcums.edu.cn,China,2021-08-24,
wudanshan taoist college,wudanshan taoist college,wudanshan taoist college,wdsdjxy.com,China,2021-08-24,
wuhan automobile polytechnical university,wuhan automobile polytechnical university,wuhan automobile polytechnical university,whapu.edu.cn,China,2021-08-24,
wuhan technical university of surveying and mapping,wuhan technical university of surveying and mapping,wuhan technical university of surveying and mapping,wtusm.edu.cn,China,2021-08-24,
wuhan transportation university,wuhan transportation university,wuhan transportation university,whtu.edu.cn,China,2021-08-24,
wuhan university,wuhan university,wuhan university,whu.edu.cn,China,2021-08-24,
wuhan university of hydraulic and electric engineering,wuhan university of hydraulic and electric engineering,wuhan university of hydraulic and electric engineering,wuhee.edu.cn,China,2021-08-24,
wuhan university of technology,wuhan university of technology,wuhan university of technology,whut.edu.cn,China,2021-08-24,
wuhan university school of medicine,wuhan university school of medicine,wuhan university school of medicine,wsm.whu.edu.cn,China,2021-08-24,
wuxi university of light industry,wuxi university of light industry,wuxi university of light industry,wxuli.edu.cn,China,2021-08-24,
wuyi university,wuyi university,wuyi university,wyu.edu.cn,China,2021-08-24,
xi'an academy of fine art,xi'an academy of fine art,xi'an academy of fine art,xafa.edu.cn,China,2021-08-24,
xi'an eurasia university,xi'an eurasia university,xi'an eurasia university,eurasia.edu,China,2021-08-24,
xi'an highway university,xi'an highway university,xi'an highway university,xahu.edu.cn,China,2021-08-24,
xi'an international studies university,xi'an international studies university,xi'an international studies university,xisu.edu.cn,China,2021-08-24,
xi'an jiaotong university|xi'an jiaotong|xian jiaotong university|xjtu,xi'an jiaotong university|xian jiaotong university|xjtu|xi'an jiaotong(?! university),xi'an jiaotong university,xjtu.edu.cn|stu.xjtu.edu.cn,China,2021-08-24,
xi'an jiaotong liverpool university|xian jiaotong liverpool university,xi'an jiaotong liverpool university|xian jiaotong liverpool university,xi'an jiaotong-liverpool university,xjtlu.edu.cn,China,2021-08-24,
xi'an university of architecture and technology,xi'an university of architecture and technology,xi'an university of architecture and technology,xauat.edu.cn,China,2021-08-24,
xi'an university of technology,xi'an university of technology,xi'an university of technology,xaut.edu.cn,China,2021-08-24,
xiamen university,xiamen university,xiamen university,xmu.edu.cn,China,2021-08-24,
xiangtan normal university,xiangtan normal university,xiangtan normal university,xtnu.edu.cn,China,2021-08-24,
xiangtan university,xiangtan university,xiangtan university,xtu.edu.cn,China,2021-08-24,
xidian university,xidian university,xidian university,xidian.edu.cn,China,2021-08-24,
xihua university,xihua university,xihua university,xhu.edu.cn,China,2021-08-24,
xijiang university,xijiang university,xijiang university,xiju.edu.cn,China,2021-08-24,
xinghai conservatory of music,xinghai conservatory of music,xinghai conservatory of music,xhcom.edu.cn,China,2021-08-24,
xinjiang agriculture university,xinjiang agriculture university,xinjiang agriculture university,xjau.edu.cn,China,2021-08-24,
xinjiang normal university,xinjiang normal university,xinjiang normal university,xjnu.edu.cn,China,2021-08-24,
xinjiang university,xinjiang university,xinjiang university,xju.edu.cn,China,2021-08-24,
xinjiang university of finance and economics,xinjiang university of finance and economics,xinjiang university of finance and economics,xjufe.edu.cn,China,2021-08-24,
xuzhou normal university,xuzhou normal university,xuzhou normal university,xznu.edu.cn,China,2021-08-24,
yan shan university,yan shan university,yan shan university,ysu.edu.cn,China,2021-08-24,
yan'an university,yan'an university,yan'an university,yau.edu.cn,China,2021-08-24,
yanbian university,yanbian university,yanbian university,ybu.edu.cn,China,2021-08-24,
yanbian university of science and technology,yanbian university of science and technology,yanbian university of science and technology,ybust.edu.cn,China,2021-08-24,
yangtze normal university,yangtze normal university,yangtze normal university,yznu.cn,China,2021-08-24,
yangtze university,yangtze university,yangtze university,yangtzeu.edu.cn,China,2021-08-24,
yangzhou university,yangzhou university,yangzhou university,yzu.edu.cn,China,2021-08-24,
yantai education institute and yantai television university,yantai education institute and yantai television university,yantai education institute and yantai television university,ytet.edu.cn,China,2021-08-24,
yantai university,yantai university,yantai university,ytu.edu.cn,China,2021-08-24,
yunnan agriculture university,yunnan agriculture university,yunnan agriculture university,ynau.edu.cn,China,2021-08-24,
yunnan normal university,yunnan normal university,yunnan normal university,ynnu.edu.cn,China,2021-08-24,
yunnan university,yunnan university,yunnan university,ynu.edu.cn,China,2021-08-24,
zhanjiang ocean university,zhanjiang ocean university,zhanjiang ocean university,zjou.edu.cn,China,2021-08-24,
zhejiang forestry university,zhejiang forestry university,zhejiang forestry university,zjfc.edu.cn,China,2021-08-24,
zhejiang gongshang university,zhejiang gongshang university,zhejiang gongshang university,zjgsu.edu.cn,China,2021-08-24,
zhejiang normal university,zhejiang normal university,zhejiang normal university,zjnu.edu.cn,China,2021-08-24,
zhejiang sci tech university,zhejiang sci tech university,zhejiang sci-tech university,zstu.edu.cn,China,2021-08-24,
zhejiang university|zju|zhejiang,zhejiang university|zju|zhejiang(?! forestry| gongshang| normal| sci| university),zhejiang university,zju.edu.cn,China,2021-08-24,
zhejiang university of technology,zhejiang university of technology,zhejiang university of technology,zjut.edu.cn,China,2021-08-24,
zhengda software college,zhengda software college,zhengda software college,zdsoft.com.cn,China,2021-08-24,
zhengzhou grain university,zhengzhou grain university,zhengzhou grain university,zzgc.edu.cn,China,2021-08-24,
zhengzhou university,zhengzhou university,zhengzhou university of technology,zzut.edu.cn,China,2021-08-24,
zhongnan university of economics and law,zhongnan university of economics and law,zhongnan university of economics and law,znuel.net,China,2021-08-24,
zhongnan university of finance and economics,zhongnan university of finance and economics,zhongnan university of finance and economics,znufe.edu.cn,China,2021-08-24,
zhongnan university of technology,zhongnan university of technology,zhongnan university of technology,zhnut.edu.cn,China,2021-08-24,
zhongshan university|zhongshan,zhongshan university|zhongshan(?! [a-z]),zhongshan university,zsu.edu.cn,China,2021-08-24,
centro de estudios investigación y tecnología,centro de estudios investigación y tecnología,centro de estudios investigación y tecnología,iceit.edu.co,Colombia,2021-08-24,
colegio de estudios superiores de administración,colegio de estudios superiores de administración,colegio de estudios superiores de administración,cesa.edu.co,Colombia,2021-08-24,
conservatorio del tolima,conservatorio del tolima,conservatorio del tolima,bundenet.com,Colombia,2021-08-24,
corporación educativa mayor del desarrollo simón bolívar,corporación educativa mayor del desarrollo simón bolívar,corporación educativa mayor del desarrollo simón bolívar,unisimonbolivar.edu.co,Colombia,2021-08-24,
corporación universitaria de ibagué|coruniversitaria,corporación universitaria de ibagué|coruniversitaria,corporación universitaria de ibagué,cui.edu.co,Colombia,2021-08-24,
corporación universitaria de la costa|unicosta,corporación universitaria de la costa|unicosta,corporación universitaria de la costa,cuc.edu.co,Colombia,2021-08-24,
corporación universitaria de santander,corporación universitaria de santander,corporación universitaria de santander,udes.edu.co,Colombia,2021-08-24,
universitaria tecnológica de bolivar|universidad tecnológica de bolivar|universidad tecnológica de bolívar,universitaria tecnológica de bolivar|universidad tecnológica de bolivar|universidad tecnológica de bolívar,corporación universitaria tecnológica de bolívar,cutb.edu.co,Colombia,2021-08-24,
escuela colombiana de carreras industriales,escuela colombiana de carreras industriales,escuela colombiana de carreras industriales,ecci.edu.co,Colombia,2021-08-24,
escuela colombiana de ingeniería julio garavito,escuela colombiana de ingeniería julio garavito,escuela colombiana de ingeniería julio garavito,escuelaing.edu.co,Colombia,2021-08-24,
escuela de administración de negocios,escuela de administración de negocios,escuela de administración de negocios,ean.edu.co,Colombia,2021-08-24,
escuela de ingeniería de antioquia,escuela de ingeniería de antioquia,escuela de ingeniería de antioquia,eia.edu.co,Colombia,2021-08-24,
escuela de policia general santander,escuela de policia general santander,escuela de policia general santander,escueladepolicia.edu.co,Colombia,2021-08-24,
escuela superiore de administración pública,escuela superiore de administración pública,escuela superiore de administración pública,esap.edu.co,Colombia,2021-08-24,
fundacion escuela colombiana de rehabiliación,fundacion escuela colombiana de rehabiliación,fundacion escuela colombiana de rehabiliación,ecr.edu.co,Colombia,2021-08-24,
fundación universitaria de boyacá,fundación universitaria de boyacá,fundación universitaria de boyacá,uniboyaca.edu.co,Colombia,2021-08-24,
fundación universitaria del area andina,fundación universitaria del area andina,fundación universitaria del area andina,funandi.edu.co,Colombia,2021-08-24,
fundación universitaria luis amigó,fundación universitaria luis amigó,fundación universitaria luis amigó,funlam.edu.co,Colombia,2021-08-24,
fundación universitaria manuela beltrán,fundación universitaria manuela beltrán,fundación universitaria manuela beltrán,umb.edu.co,Colombia,2021-08-24,
fundación universitaria san martín,fundación universitaria san martín,fundación universitaria san martín,sanmartin.edu.co,Colombia,2021-08-24,
institucion universitaria de envigado,institucion universitaria de envigado,institucion universitaria de envigado,iue.edu.co,Colombia,2021-08-24,
institución universitaria iberoamericana,institución universitaria iberoamericana,institución universitaria iberoamericana,iberoamericana.edu.co,Colombia,2021-08-24,
instituto tecnológico metropolitano,instituto tecnológico metropolitano,instituto tecnológico metropolitano,itm.edu.co,Colombia,2021-08-24,
instituto universitario de la paz,instituto universitario de la paz,instituto universitario de la paz,unipaz.edu.co,Colombia,2021-08-24,
politécnico columbiano jaime isaza cadavid,politécnico columbiano jaime isaza cadavid,politécnico columbiano jaime isaza cadavid,politecjic.edu.co,Colombia,2021-08-24,
politécnico grancolombiano institución universitaria,politécnico grancolombiano institución universitaria,politécnico grancolombiano institución universitaria,poligran.edu.co,Colombia,2021-08-24,
pontificia universidad javeriana,pontificia universidad javeriana,pontificia universidad javeriana,javeriana.edu.co,Colombia,2021-08-24,
universidad adventista de colombia,universidad adventista de colombia,universidad adventista de colombia,unac.edu.co,Colombia,2021-08-24,
universidad antonio nariño,universidad antonio nariño,universidad antonio nariño,uanarino.edu.co,Colombia,2021-08-24,
universidad autónoma de bucaramanga,universidad autónoma de bucaramanga,universidad autónoma de bucaramanga,unab.edu.co,Colombia,2021-08-24,
universidad autónoma de colombia,universidad autónoma de colombia,universidad autónoma de colombia,fuac.edu.co,Colombia,2021-08-24,
universidad autónoma de las américas,universidad autónoma de las américas,universidad autónoma de las américas,uam.edu.co,Colombia,2021-08-24,
universidad autónoma de manizales,universidad autónoma de manizales,universidad autónoma de manizales,autonoma.edu.co,Colombia,2021-08-24,
universidad autónoma de occidente,universidad autónoma de occidente,universidad autónoma de occidente,cuao.edu.co,Colombia,2021-08-24,
universidad autónoma del caribe,universidad autónoma del caribe,universidad autónoma del caribe,uac.edu.co,Colombia,2021-08-24,
universidad autónoma latinoamericana,universidad autónoma latinoamericana,universidad autónoma latinoamericana,unaula.edu.co,Colombia,2021-08-24,
universidad bellas artes,universidad bellas artes,universidad bellas artes,bellasartes.edu.co,Colombia,2021-08-24,
universidad católica de colombia,universidad católica de colombia,universidad católica de colombia,ucatolica.edu.co,Colombia,2021-08-24,
universidad católica de manizales,universidad católica de manizales,universidad católica de manizales,ucatolicamz.edu.co,Colombia,2021-08-24,
universidad católica del norte,universidad católica del norte,universidad católica del norte,ucn.edu.co,Colombia,2021-08-24,
universidad católica del oriente,universidad católica del oriente,universidad católica del oriente,uco.edu.co,Colombia,2021-08-24,
universidad católica popular del risaralda,universidad católica popular del risaralda,universidad católica popular del risaralda,ucpr.edu.co,Colombia,2021-08-24,
universidad central colombia,universidad central colombia,universidad central colombia,ucentral.edu.co,Colombia,2021-08-24,
universidad central del valle del cauca,universidad central del valle del cauca,universidad central del valle del cauca,uceva.edu.co,Colombia,2021-08-24,
universidad ces,universidad ces,universidad ces,ces.edu.co,Colombia,2021-08-24,
universidad cooperativa de colombia,universidad cooperativa de colombia,universidad cooperativa de colombia,ucc.edu.co,Colombia,2021-08-24,
universidad de américa bogotá,universidad de américa bogotá,universidad de américa bogotá,uamerica.edu.co,Colombia,2021-08-24,
universidad de antioquia,universidad de antioquia,universidad de antioquia,udea.edu.co,Colombia,2021-08-24,
universidad de antioquía,universidad de antioquía,universidad de antioquía,udea.edu.co,Colombia,2021-08-24,
universidad de bogotá jorge tadeo lozano,universidad de bogotá jorge tadeo lozano,universidad de bogotá jorge tadeo lozano,utadeo.edu.co,Colombia,2021-08-24,
universidad de caldas,universidad de caldas,universidad de caldas,ucaldas.edu.co,Colombia,2021-08-24,
universidad de cartagena,universidad de cartagena,universidad de cartagena,unicartagena.edu.co,Colombia,2021-08-24,
universidad de ciencias aplicadas y ambientales,universidad de ciencias aplicadas y ambientales,universidad de ciencias aplicadas y ambientales,udca.edu.co,Colombia,2021-08-24,
universidad de córdoba colombia|university of córdoba colombia|university of cordoba colombia,universidad de córdoba colombia|university of córdoba colombia|university of cordoba colombia,universidad de córdoba colombia,unicordoba.edu.co,Colombia,2021-08-24,
universidad de la amazonia,universidad de la amazonia,universidad de la amazonia,uniamazonia.edu.co,Colombia,2021-08-24,
universidad de la guajira,universidad de la guajira,universidad de la guajira,uniguajira.edu.co,Colombia,2021-08-24,
universidad de la sabana,universidad de la sabana,universidad de la sabana,unisabana.edu.co,Colombia,2021-08-24,
universidad de la salle,universidad de la salle(?! [a-z]),universidad de la salle,lasalle.edu.co,Colombia,2021-08-24,
universidad de los andes,universidad de los andes,universidad de los andes,uniandes.edu.co,Colombia,2021-08-24,
universidad de los llanos,universidad de los llanos,universidad de los llanos,unillanos.edu.co,Colombia,2021-08-24,
universidad de manizales,universidad de manizales,universidad de manizales,umanizales.edu.co,Colombia,2021-08-24,
universidad de medellín,universidad de medellín,universidad de medellín,udem.edu.co,Colombia,2021-08-24,
universidad de nariño,universidad de nariño,universidad de nariño,udenar.edu.co,Colombia,2021-08-24,
universidad de pamplona,universidad de pamplona,universidad de pamplona,unipamplona.edu.co,Colombia,2021-08-24,
universidad de san buenaventura,universidad de san buenaventura,universidad de san buenaventura,usb.edu.co,Colombia,2021-08-24,
universidad de san buenaventura medellin,universidad de san buenaventura medellin,universidad de san buenaventura medellin,usbmed.edu.co,Colombia,2021-08-24,
universidad de sucre,universidad de sucre,universidad de sucre,unisucre.edu.co,Colombia,2021-08-24,
universidad del atlántico,universidad del atlántico,universidad del atlántico,uniatlantico.edu.co,Colombia,2021-08-24,
universidad del cauca,universidad del cauca,universidad del cauca,ucauca.edu.co,Colombia,2021-08-24,
universidad del magdalena,universidad del magdalena,universidad del magdalena,unimagdalena.edu.co,Colombia,2021-08-24,
universidad del norte,universidad del norte,universidad del norte,uninorte.edu.co,Colombia,2021-08-24,
universidad del quindío,universidad del quindío,universidad del quindío,uniquindio.edu.co,Colombia,2021-08-24,
universidad del rosario,universidad del rosario,universidad del rosario,urosario.edu.co,Colombia,2021-08-24,
universidad del sinú,universidad del sinú,universidad del sinú,unisinucartagena.edu.co,Colombia,2021-08-24,
universidad del tolima,universidad del tolima,universidad del tolima,ut.edu.co,Colombia,2021-08-24,
universidad del valle del cauca|universidad del valle,universidad del valle del cauca|universidad del valle(?! [a-z]),universidad del valle del cauca,univalle.edu.co|correounivalle.edu.co,Colombia,2021-08-24,
universidad distrital francisco josé de caldas|universidad distrital francisco jose de caldas,universidad distrital francisco josé de caldas|universidad distrital francisco jose de caldas,universidad distrital francisco josé de caldas,udistrital.edu.co,Colombia,2021-08-24,
universidad eafit,universidad eafit,universidad eafit,eafit.edu.co,Colombia,2021-08-24,
universidad el bosque,universidad el bosque,universidad el bosque,unbosque.edu.co,Colombia,2021-08-24,
universidad externado de colombia,universidad externado de colombia,universidad externado de colombia,uexternado.edu.co,Colombia,2021-08-24,
universidad francisco de paula santander,universidad francisco de paula santander,universidad francisco de paula santander,ufps.edu.co,Colombia,2021-08-24,
universidad icesi,universidad icesi,universidad icesi,icesi.edu.co,Colombia,2021-08-24,
universidad incca de colombia,universidad incca de colombia,universidad incca de colombia,unincca.edu.co,Colombia,2021-08-24,
universidad industrial de santander,universidad industrial de santander,universidad industrial de santander,uis.edu.co,Colombia,2021-08-24,
universidad la gran colombia,universidad la gran colombia,universidad la gran colombia,ugrancolombia.edu.co,Colombia,2021-08-24,
universidad libre de colombia,universidad libre de colombia,universidad libre de colombia,unilibre.edu.co,Colombia,2021-08-24,
universidad mariana,universidad mariana,universidad mariana,umariana.edu.co,Colombia,2021-08-24,
universidad metropolitana colombia,universidad metropolitana colombia,universidad metropolitana colombia,unimetro.edu.co,Colombia,2021-08-24,
universidad militar nueva granada,universidad militar nueva granada,universidad militar nueva granada,umng.edu.co,Colombia,2021-08-24,
universidad nacional abierta y a distancia,universidad nacional abierta y a distancia,universidad nacional abierta y a distancia,unad.edu.co,Colombia,2021-08-24,
universidad nacional de colombia|national university of colombia,universidad nacional de colombia|national university of colombia,universidad nacional de colombia,unal.edu.co,Colombia,2021-08-24,
universidad pedagogica nacional,universidad pedagogica nacional,universidad pedagogica nacional,pedagogica.edu.co,Colombia,2021-08-24,
universidad pedagógica y tecnológica de colombia,universidad pedagógica y tecnológica de colombia,universidad pedagógica y tecnológica de colombia,uptc.edu.co,Colombia,2021-08-24,
universidad piloto de colombia,universidad piloto de colombia,universidad piloto de colombia,unipiloto.edu.co,Colombia,2021-08-24,
universidad pontificia bolivariana,universidad pontificia bolivariana,universidad pontificia bolivariana,upb.edu.co,Colombia,2021-08-24,
universidad popular del cesar,universidad popular del cesar,universidad popular del cesar,unicesar.edu.co,Colombia,2021-08-24,
universidad santiago de cali,universidad santiago de cali,universidad santiago de cali,usaca.edu.co,Colombia,2021-08-24,
universidad santo tomás,universidad santo tomás,universidad santo tomás,usta.edu.co,Colombia,2021-08-24,
universidad sergio arboleda,universidad sergio arboleda,universidad sergio arboleda,usergioarboleda.edu.co,Colombia,2021-08-24,
universidad surcolombiana,universidad surcolombiana,universidad surcolombiana,usurcolombia.com,Colombia,2021-08-24,
universidad tecnológica de pereira,universidad tecnológica de pereira,universidad tecnológica de pereira,utp.edu.co,Colombia,2021-08-24,
universidad tecnológica del choco diego luis cordoba,universidad tecnológica del choco diego luis cordoba,universidad tecnológica del choco diego luis cordoba,utch.edu.co,Colombia,2021-08-24,
university marien ngouabi brazzaville,university marien ngouabi brazzaville,university marien ngouabi brazzaville,univ-mngb.net,Congo,2021-08-24,
université catholique de bukavu,université catholique de bukavu,université catholique de bukavu,ucbukavu.ac.cd,"Congo, the Democratic Republic of the",2021-08-24,
université chrétienne bilingue du congo,université chrétienne bilingue du congo,université chrétienne bilingue du congo,ucbc.org,"Congo, the Democratic Republic of the",2021-08-24,
université de bandundu ville,université de bandundu ville,université de bandundu ville,uniband.org,"Congo, the Democratic Republic of the",2021-08-24,
université de kinshasa,université de kinshasa,université de kinshasa,unikin.cd,"Congo, the Democratic Republic of the",2021-08-24,
université de kisangani,université de kisangani,université de kisangani,unikis.ac.cd,"Congo, the Democratic Republic of the",2021-08-24,
université de lubumbashi,université de lubumbashi,université de lubumbashi,unilu.ac.cd,"Congo, the Democratic Republic of the",2021-08-24,
université de mbuji mayi,université de mbuji mayi,université de mbuji mayi,um-rdc.org,"Congo, the Democratic Republic of the",2021-08-24,
université kongo,université kongo,université kongo,universitekongo.org,"Congo, the Democratic Republic of the",2021-08-24,
université protestante au congo,université protestante au congo,université protestante au congo,upc-rdc.cd,"Congo, the Democratic Republic of the",2021-08-24,
université shalom de bunia,université shalom de bunia,université shalom de bunia,unishabunia.org,"Congo, the Democratic Republic of the",2021-08-24,
instituto tecnológico de costa rica,instituto tecnológico de costa rica,instituto tecnológico de costa rica,itcr.ac.cr,Costa Rica,2021-08-24,
universidad adventista de centro américa,universidad adventista de centro américa,universidad adventista de centro américa,unadeca.ac.cr,Costa Rica,2021-08-24,
universidad autónoma de centro américa,universidad autónoma de centro américa,universidad autónoma de centro américa,uaca.ac.cr,Costa Rica,2021-08-24,
universidad autonoma monterrey,universidad autonoma monterrey,universidad autonoma monterrey,unam.ac.cr,Costa Rica,2021-08-24,
