catch_terms,recode_column,organization_name,domains,country,to_edit,dataset,parent_org,org_type
_asociación de impedidos fisicos motores,_asociación de impedidos fisicos motores,Asociación de Impedidos Fisicos Motores,,,,NGO List,,
association 3in,association 3in,Association 3IN,,,,NGO List,,
association générale des handicapés du rwanda,association générale des handicapés du rwanda,Association générale des handicapés du Rwanda,,,,NGO List,,
association of disabled people of uzbekistan,association of disabled people of uzbekistan,Association of Disabled People of Uzbekistan,,,,NGO List,,
association of disabled women and mothers of disabled children,association of disabled women and mothers of disabled children,Association of Disabled Women and Mothers of Disabled Children,,,,NGO List,,
association of parents friends and people with disabilities of the brazil bank,association of parents friends and people with disabilities of the brazil bank,"Association of Parents, Friends and People with Disabilities of the Brazil Bank",,,,NGO List,,
association of parents and friends of special children in s√£o paulo,association of parents and friends of special children in s√£o paulo,Association of parents and friends of special children in S√£o Paulo,,,,NGO List,,
association of university centers on disabilities,association of university centers on disabilities,Association of University Centers on Disabilities,,,,NGO List,,
atfaluna society for deaf children asdc,atfaluna society for deaf children asdc,"Atfaluna Society for Deaf Children, ASDC",,,,NGO List,,
the atlas alliance,the atlas alliance,The Atlas Alliance,,,,NGO List,,
attivamente,attivamente,Attiva - Mente,,,,NGO List,,
australian disability and development consortium,australian disability and development consortium,Australian Disability and Development Consortium,,,,NGO List,,
australian federation of disability organisations,australian federation of disability organisations,Australian Federation of Disability Organisations,,,,NGO List,,
australian federation of disability organization,australian federation of disability organization,Australian Federation of Disability Organization,,,,NGO List,,
autisme europe,autisme europe,Autisme Europe,,,,NGO List,,
bangladesh protibandhi unnayan sangstha,bangladesh protibandhi unnayan sangstha,Bangladesh Protibandhi Unnayan Sangstha,,,,NGO List,,
barbados council for the disabled,barbados council for the disabled,Barbados Council for the Disabled,,,,NGO List,,
beit issie shapiro,beit issie shapiro,Beit Issie Shapiro,,,,NGO List,,
belgian disability forum,belgian disability forum,Belgian Disability Forum,,,,NGO List,,
benemérito comité pro ciegos y sordos de guatemala|meritorious committee for the blind and deaf of guatemala,benemérito comité pro ciegos y sordos de guatemala|meritorious committee for the blind and deaf of guatemala,Benemérito Comité Pro Ciegos y Sordos de Guatemala,,,,NGO List,,
benetech,benetech,Benetech,,,,NGO List,,
best buddies of mexico,best buddies of mexico,Best Buddies of Mexico,,,,NGO List,,
bizchut the israel human rights centre for people with disabilities,bizchut the israel human rights centre for people with disabilities,"Bizchut, the Israel Human Rights Centre for People with Disabilities",,,,NGO List,,
booker autism foundation,booker autism foundation,Booker Autism Foundation,,,,NGO List,,
brazilian academy of neurology,brazilian academy of neurology,Brazilian Academy of Neurology,,,,NGO List,,
burton blatt institute,burton blatt institute,Burton Blatt Institute,,,,NGO List,,
cambodian disabled peoples organisation,cambodian disabled peoples organisation,Cambodian Disabled Peoples Organisation,,,,NGO List,,
campus arnau ds'escala,campus arnau ds'escala,Campus Arnau ds'Escala,,,,NGO List,,
canadian association for community living,canadian association for community living,Canadian Association for Community Living,,,,NGO List,,
canadian association of the deafassociation des sourds du canada,canadian association of the deafassociation des sourds du canada,Canadian Association of the Deaf-Association des Sourds du Canada,,,,NGO List,,
canadian working group on hiv and rehabilitation,canadian working group on hiv and rehabilitation,Canadian Working Group on HIV and Rehabilitation,,,,NGO List,,
cbr global network,cbr global network,CBR Global Network,,,,NGO List,,
ccs disability action incorporated,ccs disability action incorporated,CCS Disability Action Incorporated,,,,NGO List,,
center for advocacy learning and livelihood foundation of the blind,center for advocacy learning and livelihood foundation of the blind,"Center for Advocacy, Learning and Livelihood Foundation of the Blind",,,,NGO List,,
center for international rehabilitation,center for international rehabilitation,Center for International Rehabilitation,,,,NGO List,,
center for international stabilization and recovery,center for international stabilization and recovery,Center for International Stabilization and Recovery,,,,NGO List,,
center for independent living,center for independent living,Center for Independent Living,,,,NGO List,,
center for the study of sport and society,center for the study of sport and society,Center for the Study of Sport and Society,,,,NGO List,,
central council of disabled persons,central council of disabled persons,Central Council of Disabled Persons,,,,NGO List,,
centre de recherches et de promotion pour la sauvegardge des sites,centre de recherches et de promotion pour la sauvegardge des sites,Centre de Recherches et de Promotion pour la Sauvegardge des Sites,,,,NGO List,,
centre for citizens with disabilities,centre for citizens with disabilities,Centre for Citizens with Disabilities,,,,NGO List,,
centre for disability in development,centre for disability in development,Centre for Disability in Development,,,,NGO List,,
centre for disability studies university of the west indies,centre for disability studies university of the west indies,"Centre for Disability Studies, University of the West Indies",,,,NGO List,,
centre for independent living of people with disability of serbia,centre for independent living of people with disability of serbia,Centre for Independent Living of People with Disability of Serbia,,,,NGO List,,
centre for legal assistance for people with disabilities,centre for legal assistance for people with disabilities,Centre for Legal Assistance for People with Disabilities,,,,NGO List,,
centre for studies on inclusive education,centre for studies on inclusive education,Centre for Studies on Inclusive Education,,,,NGO List,,
centre for the education and development of mauritian children,centre for the education and development of mauritian children,Centre for the Education and Development of Mauritian Children,,,,NGO List,,
centre for the rehabilitation of the paralyzed,centre for the rehabilitation of the paralyzed,Centre for the Rehabilitation of the Paralyzed,,,,NGO List,,
centro de estudios y formacion integral de la mujer,centro de estudios y formacion integral de la mujer,Centro de Estudios y Formacion Integral de la Mujer,,,,NGO List,,
cerebral palsy foundation,cerebral palsy foundation,Cerebral Palsy Foundation,,,,NGO List,,
cerebral palsy nigeria,cerebral palsy nigeria,Cerebral Palsy Nigeria,,,,NGO List,,
charitable society for disabled people stimuli,charitable society for disabled people stimuli,"Charitable society for disabled people ""Stimuli""",,,,NGO List,,
children and young people with disability australia,children and young people with disability australia,Children and Young People with Disability Australia,,,,NGO List,,
child concern,child concern,Child Concern,,,,NGO List,,
children's rights alliance for england,children's rights alliance for england,Children's Rights Alliance for England,,,,NGO List,,
christain children's fun,christain children's fun,Christain Children's Fun,,,,NGO List,,
christopher and dana reeve foundation,christopher and dana reeve foundation,Christopher and Dana Reeve Foundation,,,,NGO List,,
colombian centre for integrated rehabilitation,colombian centre for integrated rehabilitation,Colombian Centre for Integrated Rehabilitation,,,,NGO List,,
commitments,commitments,Commitments,,,,NGO List,,
communications coordination committee for the united nations,communications coordination committee for the united nations,Communications Coordination Committee for the United Nations,,,,NGO List,,
communities forestry and social development organization communications,communities forestry and social development organization communications,Communities Forestry and Social Development Organization Communications,,,,NGO List,,
community options inc ,community options inc ,"Community Options, Inc.",,,,NGO List,,
comprehensive community based rehabilitation,comprehensive community based rehabilitation,Comprehensive Community Based Rehabilitation,,,,NGO List,,
confederación mexicana de organizaciones en favor de la persona con discapacidad intelectual a c ,confederación mexicana de organizaciones en favor de la persona con discapacidad intelectual a c ,"Confederación Mexicana de Organizaciones en Favor de la Persona con Discapacidad Intelectual, A.C.",,,,NGO List,,
congo handicap rdc,congo handicap rdc,Congo Handicap RDC,,,,NGO List,,
consiglio nazionale sulla disabilit√†,consiglio nazionale sulla disabilit√†,Consiglio Nazionale sulla Disabilit√†,,,1,NGO List,,
consortium of disability organisations,consortium of disability organisations,Consortium of Disability Organisations,,,,NGO List,,
consortium of humanitarian agencies,consortium of humanitarian agencies,Consortium of Humanitarian Agencies,,,,NGO List,,
corporación ciudadan√≠a real de sordos de chile,corporación ciudadan√≠a real de sordos de chile,Corporación Ciudadan√≠a Real de Sordos de Chile,,,1,NGO List,,
council for canadians with disabilities,council for canadians with disabilities,Council for Canadians with Disabilities,,,,NGO List,,
council for exceptional children,council for exceptional children,Council for Exceptional Children,,,,NGO List,,
datapop alliance,datapop alliance,Data-Pop Alliance,,,,NGO List,,
dementia alliance international,dementia alliance international,Dementia Alliance International,,,,NGO List,,
design bangladesh,design bangladesh,Design Bangladesh,,,,NGO List,,
afghan disabled union,afghan disabled union,Afghan Disabled Union,,,,NGO List,,
disability action ireland,disability action ireland,"Disability Action, Ireland",,,,NGO List,,
disability australia ltd ,disability australia ltd ,Disability Australia Ltd.,,,,NGO List,,
disability federation of ireland,disability federation of ireland,Disability Federation of Ireland,,,,NGO List,,
disability organizations joint front,disability organizations joint front,Disability Organizations Joint Front,,,,NGO List,,
disability law and policy program syracuse university college of law/ syracuse university,disability law and policy program syracuse university college of law/ syracuse university,"Disability Law and Policy Program, Syracuse University College of Law/ Syracuse University",,,,NGO List,,
disability rights education and defense fund,disability rights education and defense fund,Disability Rights Education and Defense Fund,,,,NGO List,,
disability rights fund,disability rights fund,Disability Rights Fund,,,,NGO List,,
disability rights promotion international,disability rights promotion international,Disability Rights Promotion International,,,,NGO List,,
disabled peoples' internationaleurope,disabled peoples' internationaleurope,Disabled Peoples' International Europe,,,,NGO List,,
disabled peoples' international korea,disabled peoples' international korea,Disabled Peoples' International Korea,,,,NGO List,,
disabled people's rehabilitation and employment union of georgia,disabled people's rehabilitation and employment union of georgia,Disabled People's Rehabilitation and Employment Union of Georgia,,,,NGO List,,
disabled peoples organizations denmark,disabled peoples organizations denmark,Disabled Peoples Organizations Denmark,,,,NGO List,,
disabled peoples' international,disabled peoples' international,Disabled Peoples' International,,,,NGO List,,
disabled persons assembly nz,disabled persons assembly nz,Disabled Persons Assembly NZ,,,,NGO List,,
disabled women's network canada,disabled women's network canada,Disabled Women's Network Canada,,,,NGO List,,
discovering deaf worlds inc ,discovering deaf worlds inc ,"Discovering Deaf Worlds, Inc.",,,,NGO List,,
dominica association of persons with disabilities inc ,dominica association of persons with disabilities inc ,"Dominica Association of Persons with Disabilities, Inc.",,,,NGO List,,
down syndrome australia,down syndrome australia,Down Syndrome Australia,,,,NGO List,,
down syndrome society of kenya,down syndrome society of kenya,Down Syndrome Society of Kenya,,,,NGO List,,
dream for disability foundation,dream for disability foundation,Dream for Disability Foundation,,,,NGO List,,
east eagle foundation,east eagle foundation,East Eagle Foundation,eff.org,,,NGO List,,
electronic frontier foundation,electronic frontier foundation,Electronic Frontier Foundation,,,,NGO List,,
entire power in social action,entire power in social action,Entire Power in Social Action,,,,NGO List,,
empowerment through integration,empowerment through integration,Empowerment Through Integration,,,,NGO List,,
enosh,enosh,"Enosh, The Israeli Mental Health Association",,,,NGO List,,
entire power in social action|epsa nepal,entire power in social action|epsa nepal,EPSA Nepal,,,,NGO List,,
equal opportunities commission of hong kong,equal opportunities commission of hong kong,Equal Opportunities Commission of Hong Kong,,,,NGO List,,
equal rights for persons with disabilities international,equal rights for persons with disabilities international,Equal Rights for Persons with Disabilities International,,,,NGO List,,
equally unique,equally unique,Equally Unique,,,,NGO List,,
essl foundation,essl foundation,Essl Foundation,,,,NGO List,,
european association of service providers for persons with disabilities,european association of service providers for persons with disabilities,European Association of Service providers for Persons with Disabilities,,,,NGO List,,
european centre for law and justice,european centre for law and justice,European Centre for Law and Justice,,,,NGO List,,
european disability forum,european disability forum,European Disability Forum,,,,NGO List,,
european league of stuttering associations,european league of stuttering associations,European League of Stuttering Associations,,,,NGO List,,
european women's lobby,european women's lobby,European Women's Lobby,,,,NGO List,,
family research council,family research council,Family Research Council,,,,NGO List,,
federação brasileira das associa√ß√µes de s√≠ndrome de down|brazilian federation of down syndrome associations,federação brasileira das associa√ß√µes de s√≠ndrome de down|brazilian federation of down syndrome associations,Federação Brasileira das Associa√ß√µes de S√≠ndrome de Down|Brazilian Federation of Down Syndrome Associations,,,1,NGO List,,
fédération guinéene pour la promotion des associations des personnes handicapées,fédération guinéene pour la promotion des associations des personnes handicapées,Fédération Guinéene pour la Promotion des Associations des Personnes Handicapées,,,,NGO List,,
fédération guinéenne des associations de personnes handicapées,fédération guinéenne des associations de personnes handicapées,Fédération guinéenne des associations de personnes handicapées,,,,NGO List,,
federation of and for people with disabilities,federation of and for people with disabilities,Federation of and for People with Disabilities,,,,NGO List,,
federation of ethiopian national associations of persons with disabilities,federation of ethiopian national associations of persons with disabilities,Federation of Ethiopian National Associations of Persons with disabilities,,,,NGO List,,
fédération togolaise des personnes handicapées,fédération togolaise des personnes handicapées,Fédération togolaise des personnes handicapées,,,,NGO List,,
festacusa,festacusa,FESTAC-USA,,,,NGO List,,
fight the stroke,fight the stroke,Fight the Stroke,,,,NGO List,,
fondation telethon,fondation telethon,Fondation Telethon,,,,NGO List,,
fondo teleton de apoyo a instituciones,fondo teleton de apoyo a instituciones,Fondo Teleton de Apoyo a Instituciones,,,,NGO List,,
franiscans international,franiscans international,Franiscans International,,,,NGO List,,
franklin and eleasnor roosevelt institute,franklin and eleasnor roosevelt institute,Franklin & Eleasnor Roosevelt Institute,,,,NGO List,,
friends of peace and development organization,friends of peace and development organization,Friends of Peace and Development Organization,,,,NGO List,,
