business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel,ownerofLabel
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Industrial Average,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Industrial Average,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Industrial Average,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,S&P 500,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,S&P 500,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,S&P 500,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Global Titans 50,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Global Titans 50,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Global Titans 50,Business Software Alliance,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Industrial Average,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Industrial Average,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Industrial Average,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,S&P 500,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,S&P 500,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,S&P 500,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Global Titans 50,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,The Vanguard Group,,Dow Jones Global Titans 50,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,State Street Corporation,,Dow Jones Global Titans 50,Linux Foundation,IBM Rochester
http://www.wikidata.org/entity/Q37156,Berkshire Hathaway,,Dow Jones Industrial Average,European Committee for Interoperable Systems,IBM Rochester
