business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel,ownerofLabel
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,NASDAQ-100,Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,NASDAQ-100,Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,BlackRock,,S&P 100,Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,S&P 100,Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,S&P 100,Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,BlackRock,,Big Tech (web),Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,Jeff Bezos,,Big Tech (web),Alliance for Open Media,eero
http://www.wikidata.org/entity/Q3884,The Vanguard Group,,Big Tech (web),Alliance for Open Media,eero
http://www.wikidata.org/entity/Q1023212,,,,,
http://www.wikidata.org/entity/Q1023306,,,,,
http://www.wikidata.org/entity/Q1023344,,,,,
