business,ownedbyLabel,parentorgLabel,partofLabel,memberofLabel
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,iRODS Consortium
http://www.wikidata.org/entity/Q248,,,S&P 500,iRODS Consortium
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,iRODS Consortium
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,CVE Numbering Authorities
http://www.wikidata.org/entity/Q248,,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,Bytecode Alliance
http://www.wikidata.org/entity/Q248,,,S&P 500,Bytecode Alliance
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,Bytecode Alliance
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,OpenJS Foundation
http://www.wikidata.org/entity/Q248,,,S&P 500,OpenJS Foundation
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,OpenJS Foundation
http://www.wikidata.org/entity/Q248,,,Dow Jones Industrial Average,jQuery Foundation
http://www.wikidata.org/entity/Q248,,,S&P 500,jQuery Foundation
http://www.wikidata.org/entity/Q248,,,NASDAQ-100,jQuery Foundation
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),Wireless Power Consortium
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),Wireless Power Consortium
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),Wireless Power Consortium
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,SD Association
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,SD Association
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,SD Association
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,SD Association
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,SD Association
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,SD Association
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,SD Association
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,SD Association
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,SD Association
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,SD Association
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,SD Association
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,SD Association
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),SD Association
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),SD Association
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),SD Association
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),SD Association
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,Alliance for Open Media
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,Alliance for Open Media
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,Alliance for Open Media
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,Alliance for Open Media
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,Alliance for Open Media
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),Alliance for Open Media
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),CVE Numbering Authorities
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Dow Jones Industrial Average,Zigbee Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,Dow Jones Industrial Average,Zigbee Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Dow Jones Industrial Average,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Dow Jones Industrial Average,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,S&P 500,Zigbee Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,S&P 500,Zigbee Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,S&P 500,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,S&P 500,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,NASDAQ-100,Zigbee Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,NASDAQ-100,Zigbee Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,NASDAQ-100,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,NASDAQ-100,Zigbee Alliance
http://www.wikidata.org/entity/Q312,Berkshire Hathaway,,Big Tech (web),Zigbee Alliance
http://www.wikidata.org/entity/Q312,BlackRock,,Big Tech (web),Zigbee Alliance
http://www.wikidata.org/entity/Q312,The Vanguard Group,,Big Tech (web),Zigbee Alliance
http://www.wikidata.org/entity/Q312,Government Pension Fund Global,,Big Tech (web),Zigbee Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),World Wide Web Consortium
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,Linux Foundation
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,Linux Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,Linux Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,Linux Foundation
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,Big Tech (web),Linux Foundation
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 500,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,S&P 100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,S&P 100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Dustin Moskovitz,,S&P 100,Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Mark Zuckerberg,,Big Tech (web),Wi-Fi Alliance
http://www.wikidata.org/entity/Q380,Eduardo Saverin,,Big Tech (web),Wi-Fi Alliance
