business,msacademicLabel,grididLabel,opencorporatesLabel
http://www.wikidata.org/entity/Q197914,,,
http://www.wikidata.org/entity/Q200687,,,
http://www.wikidata.org/entity/Q201691,106618798,grid.432589.1,de/K1101R_HRB1787
http://www.wikidata.org/entity/Q201821,,grid.477306.1,fi/0108023-3
http://www.wikidata.org/entity/Q201850,,,
http://www.wikidata.org/entity/Q202210,,,
http://www.wikidata.org/entity/Q202841,,,
http://www.wikidata.org/entity/Q202972,197817023,grid.467492.a,
http://www.wikidata.org/entity/Q203552,901242617,grid.467239.d,
http://www.wikidata.org/entity/Q204284,1295069243,,jp/1010401099027
http://www.wikidata.org/entity/Q204296,,,
http://www.wikidata.org/entity/Q204727,49313256,grid.422288.6,
http://www.wikidata.org/entity/Q205012,,,
http://www.wikidata.org/entity/Q205378,,,
http://www.wikidata.org/entity/Q206678,2800885372,grid.424657.6,
http://www.wikidata.org/entity/Q206921,87298550,grid.410513.2,us_de/383418
http://www.wikidata.org/entity/Q207770,2799899383,grid.425004.7,
http://www.wikidata.org/entity/Q207784,,,jp/5011001027704
http://www.wikidata.org/entity/Q207983,1295346377,grid.418554.9,
http://www.wikidata.org/entity/Q210047,32393484,grid.423526.4,br/33000167000101
http://www.wikidata.org/entity/Q210780,,,
http://www.wikidata.org/entity/Q211165,,,
http://www.wikidata.org/entity/Q211237,,,
http://www.wikidata.org/entity/Q211906,,,dk/83933410
http://www.wikidata.org/entity/Q211951,,,gb/04006623
http://www.wikidata.org/entity/Q212116,164160370,grid.471089.3,jp/3090001010053
http://www.wikidata.org/entity/Q212235,162884033,grid.467144.4,
http://www.wikidata.org/entity/Q212322,,grid.418236.a,gb/03888792
http://www.wikidata.org/entity/Q212405,74680897,grid.418758.7,
http://www.wikidata.org/entity/Q212599,,,fr/602036444
http://www.wikidata.org/entity/Q212646,118019719,grid.417570.0,
http://www.wikidata.org/entity/Q212900,22954789,,
http://www.wikidata.org/entity/Q213140,,,jp/7010701007666
http://www.wikidata.org/entity/Q213660,1316064682,grid.510623.3,us_de/3633019
http://www.wikidata.org/entity/Q214346,,,
http://www.wikidata.org/entity/Q214763,24101674,grid.453595.b,
http://www.wikidata.org/entity/Q215392,,,
http://www.wikidata.org/entity/Q215657,,,
http://www.wikidata.org/entity/Q217338,185177349,grid.467270.0,jp/4011001030015
http://www.wikidata.org/entity/Q217493,,,se/556667-4759
http://www.wikidata.org/entity/Q217583,890115928,grid.453844.a,
http://www.wikidata.org/entity/Q218139,,grid.435421.5,fr/729800821
http://www.wikidata.org/entity/Q218746,,,
http://www.wikidata.org/entity/Q219203,,grid.420377.5,jp/7010401022916
http://www.wikidata.org/entity/Q219501,1339161553,grid.5595.c,se/556036-0793
http://www.wikidata.org/entity/Q219508,135458274,grid.466589.0,
http://www.wikidata.org/entity/Q219635,55884533,grid.497139.1,
http://www.wikidata.org/entity/Q220327,,,
http://www.wikidata.org/entity/Q220485,1315738937,,
http://www.wikidata.org/entity/Q220874,,,
http://www.wikidata.org/entity/Q221062,1316910977,grid.416832.a,
http://www.wikidata.org/entity/Q223127,,grid.480304.b,
http://www.wikidata.org/entity/Q224751,,,
http://www.wikidata.org/entity/Q225440,59011859,,
http://www.wikidata.org/entity/Q226889,,,
http://www.wikidata.org/entity/Q226897,,,
http://www.wikidata.org/entity/Q229501,,,
http://www.wikidata.org/entity/Q229505,,,
http://www.wikidata.org/entity/Q230426,237525767,grid.483715.c,
http://www.wikidata.org/entity/Q238181,,grid.500521.3,
http://www.wikidata.org/entity/Q238765,159060422,grid.421454.2,
http://www.wikidata.org/entity/Q240333,1282619606,,
http://www.wikidata.org/entity/Q245343,,grid.432391.e,gb/01026167
http://www.wikidata.org/entity/Q245386,,,
http://www.wikidata.org/entity/Q245772,188437732,grid.497240.c,
http://www.wikidata.org/entity/Q246655,,,
http://www.wikidata.org/entity/Q246946,,,
http://www.wikidata.org/entity/Q247358,,,
http://www.wikidata.org/entity/Q247489,1285764155,grid.417993.1,
http://www.wikidata.org/entity/Q247916,,,
http://www.wikidata.org/entity/Q248699,,,
http://www.wikidata.org/entity/Q248717,,,
http://www.wikidata.org/entity/Q249190,,,
http://www.wikidata.org/entity/Q249798,,grid.431776.0,
http://www.wikidata.org/entity/Q250362,,,
http://www.wikidata.org/entity/Q251546,174297201,,
http://www.wikidata.org/entity/Q253423,,,se/556610-8055
http://www.wikidata.org/entity/Q253967,,grid.497109.2,
http://www.wikidata.org/entity/Q255381,,,
http://www.wikidata.org/entity/Q255661,,grid.480378.0,dk/54879415
http://www.wikidata.org/entity/Q255661,,grid.481621.8,dk/54879415
http://www.wikidata.org/entity/Q256290,,grid.435796.a,
http://www.wikidata.org/entity/Q256598,,,
http://www.wikidata.org/entity/Q258748,,,
http://www.wikidata.org/entity/Q259011,1333370159,grid.467466.1,
http://www.wikidata.org/entity/Q259013,220027217,grid.498064.7,
http://www.wikidata.org/entity/Q259195,,,
http://www.wikidata.org/entity/Q260121,861488341,grid.471314.4,jp/2250001002992
http://www.wikidata.org/entity/Q260833,177486454,,
http://www.wikidata.org/entity/Q261288,116121188,grid.471235.6,
http://www.wikidata.org/entity/Q265176,,grid.506714.1,
http://www.wikidata.org/entity/Q265286,,,
http://www.wikidata.org/entity/Q266423,157075465,grid.419971.3,
http://www.wikidata.org/entity/Q267313,,,
http://www.wikidata.org/entity/Q267417,,,
http://www.wikidata.org/entity/Q268784,,,
http://www.wikidata.org/entity/Q270077,,,
http://www.wikidata.org/entity/Q270223,138841263,grid.424403.5,de/R2503_HRB28196
http://www.wikidata.org/entity/Q270363,,,fr/086380730
http://www.wikidata.org/entity/Q271413,,,
http://www.wikidata.org/entity/Q274372,,,
http://www.wikidata.org/entity/Q274591,110534114,grid.410455.1,fr/552081317
http://www.wikidata.org/entity/Q275623,268709337,grid.4748.f,fr/552100554
http://www.wikidata.org/entity/Q276345,,,
http://www.wikidata.org/entity/Q276507,71187865,grid.420207.3,de/R1101_HRB4724
http://www.wikidata.org/entity/Q276557,,,
http://www.wikidata.org/entity/Q277115,,,jp/5010401014535
http://www.wikidata.org/entity/Q278410,,,
http://www.wikidata.org/entity/Q278810,,grid.422394.a,
http://www.wikidata.org/entity/Q282997,,,
http://www.wikidata.org/entity/Q283457,,grid.481113.e,
http://www.wikidata.org/entity/Q283790,,,
http://www.wikidata.org/entity/Q283852,204489386,grid.438864.5,
http://www.wikidata.org/entity/Q285161,138423393,grid.455684.e,
http://www.wikidata.org/entity/Q285328,56705333,,
http://www.wikidata.org/entity/Q285931,73077576,grid.473345.2,
http://www.wikidata.org/entity/Q286214,,,
http://www.wikidata.org/entity/Q287471,136708864,,
http://www.wikidata.org/entity/Q287744,,,
http://www.wikidata.org/entity/Q287820,,,
http://www.wikidata.org/entity/Q288129,,grid.480634.d,
http://www.wikidata.org/entity/Q289704,,,
http://www.wikidata.org/entity/Q289728,,,
http://www.wikidata.org/entity/Q289761,,grid.473090.9,
http://www.wikidata.org/entity/Q290661,,grid.482295.0,
http://www.wikidata.org/entity/Q290680,,,
http://www.wikidata.org/entity/Q291090,,,
http://www.wikidata.org/entity/Q291171,,grid.467146.6,
http://www.wikidata.org/entity/Q291390,,,
http://www.wikidata.org/entity/Q291508,,grid.467158.9,
http://www.wikidata.org/entity/Q291796,,,
http://www.wikidata.org/entity/Q291990,,,
http://www.wikidata.org/entity/Q292291,,,
http://www.wikidata.org/entity/Q292292,,grid.480023.d,
http://www.wikidata.org/entity/Q292374,,,
http://www.wikidata.org/entity/Q292428,,,
http://www.wikidata.org/entity/Q293008,,,
http://www.wikidata.org/entity/Q293796,,,
http://www.wikidata.org/entity/Q294508,,,
http://www.wikidata.org/entity/Q294721,,,
http://www.wikidata.org/entity/Q295118,,grid.436455.5,
http://www.wikidata.org/entity/Q295261,,,
http://www.wikidata.org/entity/Q295774,21160419,grid.455453.6,
http://www.wikidata.org/entity/Q296053,,,
http://www.wikidata.org/entity/Q296134,,,
http://www.wikidata.org/entity/Q296372,,,
http://www.wikidata.org/entity/Q296455,,,
http://www.wikidata.org/entity/Q296498,,grid.473945.8,
http://www.wikidata.org/entity/Q297879,927257375,grid.424262.4,
http://www.wikidata.org/entity/Q298758,,,
http://www.wikidata.org/entity/Q300120,125732723,grid.480000.c,
http://www.wikidata.org/entity/Q301965,110995367,grid.467538.b,
http://www.wikidata.org/entity/Q302251,,,
http://www.wikidata.org/entity/Q302850,270196522,,
http://www.wikidata.org/entity/Q303341,,,
http://www.wikidata.org/entity/Q303580,,,
http://www.wikidata.org/entity/Q303710,,,
http://www.wikidata.org/entity/Q304509,,,
http://www.wikidata.org/entity/Q304962,,,
http://www.wikidata.org/entity/Q305393,,,
http://www.wikidata.org/entity/Q305473,28927889,grid.418848.9,
http://www.wikidata.org/entity/Q306457,,,
http://www.wikidata.org/entity/Q306764,,grid.417574.4,
http://www.wikidata.org/entity/Q309084,,grid.424003.1,fr/389058447
http://www.wikidata.org/entity/Q309865,,,se/556410-8917
http://www.wikidata.org/entity/Q310481,,grid.426230.1,de/D2601V_HRB199675
http://www.wikidata.org/entity/Q310481,,grid.426230.1,de/D2601V_HRB201526
http://www.wikidata.org/entity/Q313542,,,
http://www.wikidata.org/entity/Q315287,,grid.420167.6,
http://www.wikidata.org/entity/Q317402,,,
http://www.wikidata.org/entity/Q317513,,,
http://www.wikidata.org/entity/Q318670,,,
http://www.wikidata.org/entity/Q319039,2801963340,grid.423540.4,
http://www.wikidata.org/entity/Q319344,,,
http://www.wikidata.org/entity/Q319642,186131212,grid.450626.3,us_de/3963043
http://www.wikidata.org/entity/Q319730,,grid.425986.4,
http://www.wikidata.org/entity/Q319915,,,
http://www.wikidata.org/entity/Q320364,3097109,,
http://www.wikidata.org/entity/Q322153,891764251,grid.480039.6,
http://www.wikidata.org/entity/Q322320,,,
http://www.wikidata.org/entity/Q322601,,grid.471311.1,jp/9010001034797
http://www.wikidata.org/entity/Q322962,,,
http://www.wikidata.org/entity/Q324029,,,gb/02150950
http://www.wikidata.org/entity/Q324616,,,
http://www.wikidata.org/entity/Q324846,124202961,grid.50125.33,fr/350807947
http://www.wikidata.org/entity/Q324901,,,
http://www.wikidata.org/entity/Q325789,,,
http://www.wikidata.org/entity/Q326345,135277319,grid.4694.f,
http://www.wikidata.org/entity/Q326700,157085157,grid.471200.0,jp/4010401054474
http://www.wikidata.org/entity/Q327247,184256567,grid.510584.d,
http://www.wikidata.org/entity/Q327429,161593807,grid.426325.4,
http://www.wikidata.org/entity/Q327646,,,us_or/52754984
http://www.wikidata.org/entity/Q327751,1290683524,,
http://www.wikidata.org/entity/Q328249,,grid.506666.5,
http://www.wikidata.org/entity/Q328840,,grid.471286.e,
http://www.wikidata.org/entity/Q151694,,,
http://www.wikidata.org/entity/Q152051,4010417,grid.420044.6,de/R3306_HRB48248
http://www.wikidata.org/entity/Q152051,177149089,grid.420044.6,de/R3306_HRB48248
http://www.wikidata.org/entity/Q152051,67348948,grid.420044.6,de/R3306_HRB48248
http://www.wikidata.org/entity/Q152057,,grid.1236.6,gb/00102498
http://www.wikidata.org/entity/Q152096,155607172,grid.420497.c,
http://www.wikidata.org/entity/Q152433,33976269,grid.420144.7,
http://www.wikidata.org/entity/Q152695,,grid.481755.a,fi/0131505-5
http://www.wikidata.org/entity/Q152864,,grid.471105.6,
http://www.wikidata.org/entity/Q153417,,,
http://www.wikidata.org/entity/Q154037,103084370,grid.424348.d,fr/542051180
http://www.wikidata.org/entity/Q154387,,,
http://www.wikidata.org/entity/Q154950,7923278,grid.422154.4,
http://www.wikidata.org/entity/Q155026,1296747019,grid.480452.f,
