FFRDC_Name,FFRDC_URL,Agency,Agency_URL,Sub_Agency,Sub_Agency_URL,Agency2,Agency2_URL,Sub_Agency2,Sub_Agency2_URL,Agency3,Agency3_URL,Sub_Agency3,Sub_Agency3_URL,Admin_Name,Admin_type,Admin_URL,Loc_Full,Loc_State,Activity,FFRDC_Note_Num,Update_Date
Aerospace Federally Funded Research and Development Center,http://www.aero.org/,Department of Defense,http://www.defense.gov/,Department of the Air Force,http://www.af.mil/,,,,,,,,,The Aerospace Corporation,nonprofit institutions other than universities and colleges,http://www.aero.org/,"El Segundo, CA",California,Systems engineering and integration centers,0,
Ames Laboratory,http://www.ameslab.gov/,Department of Energy,http://www.energy.gov/,,,,,,,,,,,Iowa State University,"universities and colleges, including university consortia",http://www.iastate.edu/,"Ames, IA",Iowa,Research and development laboratories,0,
Argonne National Laboratory,http://www.anl.gov/,Department of Energy,http://www.energy.gov/,,,,,,,,,,,"UChicago Argonne, LLC","universities and colleges, including university consortia",http://www.uchicago.edu/,"Argonne, IL",Illinois,Research and development laboratories,8,
Arroyo Center,http://www.rand.org/ard.html,Department of Defense,http://www.defense.gov/,Department of the Army,http://www.army.mil/,,,,,,,,,RAND Corp.,nonprofit institutions other than universities and colleges,http://www.rand.org/,"Santa Monica, CA",California,Study and analysis centers,1,
Brookhaven National Laboratory,http://www.bnl.gov/world/,Department of Energy,http://www.energy.gov/,,,,,,,,,,,"Brookhaven Science Associates, LLC",nonprofit institutions other than universities and colleges,,"Upton, NY",New York,Research and development laboratories,10,
National Security Engineering Center,http://www.mitre.org/centers/national-security-and-engineering-center/who-we-are,Department of Defense,http://www.defense.gov/,Office of the Under Secretary of Defense for Research and Engineering,https://www.cto.mil/,,,,,,,,,MITRE Corp.,nonprofit institutions other than universities and colleges,https://www.mitre.org/,"Bedford, MA, and McLean, VA",Massachusetts,Systems engineering and integration centers,20,
National Security Engineering Center,http://www.mitre.org/centers/national-security-and-engineering-center/who-we-are,Department of Defense,http://www.defense.gov/,Office of the Under Secretary of Defense for Research and Engineering,https://www.cto.mil/,,,,,,,,,MITRE Corp.,nonprofit institutions other than universities and colleges,https://www.mitre.org/,"Bedford, MA, and McLean, VA",Virginia,Systems engineering and integration centers,20,
Center for Advanced Aviation System Development,https://www.mitre.org/centers/center-for-advanced-aviation-system-development/who-we-are,Department of Transportation,http://www.dot.gov/,Federal Aviation Administration,http://www.faa.gov/,,,,,,,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"McLean, VA",Virginia,Research and development laboratories,0,
Center for Enterprise Modernization,http://www.mitre.org/about/ffrdcs/cem.html,Department of the Treasury,https://home.treasury.gov/,Internal Revenue Service,http://www.irs.gov/,Department of Veterans Affairs,https://www.va.gov/,,,Social Security Administration,https://www.ssa.gov/,,,MITRE Corporation,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"McLean, VA",Virginia,Systems engineering and integration centers,17,
Center for Naval Analyses,http://www.cna.org/centers/cna/,Department of Defense,http://www.defense.gov/,Department of the Navy,http://www.navy.mil/,,,,,,,,,The CNA Corporation,nonprofit institutions other than universities and colleges,http://www.cna.org/,"Arlington, VA",Virginia,Study and analysis centers,28,
Center for Nuclear Waste Regulatory Analyses,http://www.swri.org/4org/d20/home/who/CNWRA.htm,Nuclear Regulatory Commission,http://www.nrc.gov/,,,,,,,,,,,Southwest Research Institute,nonprofit institutions other than universities and colleges,http://www.swri.org/,"San Antonio, TX",Texas,Study and analysis centers,0,
Center for Communications and Computing,https://www.ida.org/ida-ffrdcs/center-for-communications-and-computing,Department of Defense,http://www.defense.gov/,National Security Agency/Central Security Service,http://www.nsa.gov/,,,,,,,,,Institute for Defense Analyses,nonprofit institutions other than universities and colleges,http://www.ida.org/,"Alexandria, VA",Virginia,Research and development laboratories,0,
CMS Alliance to Modernize Healthcare,http://www.mitre.org/centers/cms-alliances-to-modernize-healthcare/who-we-are,Department of Health and Human Services,http://www.dhhs.gov/,Centers for Medicare and Medicaid Services,http://www.cms.gov/,,,,,,,,,MITRE Corp.,nonprofit institutions other than universities and colleges,http://www.mitre.org/,"Baltimore, MD",Maryland,Study and analysis centers,24,
Fermi National Accelerator Laboratory,http://www.fnal.gov/,Department of Energy,http://www.energy.gov/,,,,,,,,,,,"Fermi Research Alliance, LLC","universities and colleges, including university consortia",http://www.fra-hq.org/,"Batavia, IL",Illinois,Research and development laboratories,9,
