business,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q291171,,,
http://www.wikidata.org/entity/Q291390,,,
http://www.wikidata.org/entity/Q291508,,The-AES-Corporation,
http://www.wikidata.org/entity/Q291796,,China-Eastern-Airlines,
http://www.wikidata.org/entity/Q291990,,,
http://www.wikidata.org/entity/Q292291,,,
http://www.wikidata.org/entity/Q292292,,,
http://www.wikidata.org/entity/Q292374,agl-energy,,
http://www.wikidata.org/entity/Q292428,,Hainan-Airlines,
http://www.wikidata.org/entity/Q293008,,Metro-International,
http://www.wikidata.org/entity/Q293796,,AIMCO,
http://www.wikidata.org/entity/Q294508,,Alrosa,
http://www.wikidata.org/entity/Q294721,amc-entertainment-holdings,AMC-Theatres,
http://www.wikidata.org/entity/Q295118,,Amec-Foster-Wheeler-company,
http://www.wikidata.org/entity/Q295261,amp,AMP-Limited,
http://www.wikidata.org/entity/Q295774,ansys,ANSYS-company,
http://www.wikidata.org/entity/Q296053,,,
http://www.wikidata.org/entity/Q296134,,,
http://www.wikidata.org/entity/Q296372,aquantive,AQuantive,
http://www.wikidata.org/entity/Q296455,,,
http://www.wikidata.org/entity/Q296498,,,
http://www.wikidata.org/entity/Q297879,asml,ASML-Holding,118949
http://www.wikidata.org/entity/Q298758,,,
http://www.wikidata.org/entity/Q300120,au-optronics,AU-Optronics-Corp,
http://www.wikidata.org/entity/Q301965,sprint-nextel,,
http://www.wikidata.org/entity/Q302251,frontier-developments,Frontier-Developments,
http://www.wikidata.org/entity/Q302850,,,
http://www.wikidata.org/entity/Q303341,wyndham-worldwide,,
http://www.wikidata.org/entity/Q303580,d-link,D-Link,
http://www.wikidata.org/entity/Q303710,,,
http://www.wikidata.org/entity/Q304509,,,
http://www.wikidata.org/entity/Q304962,,Mitsubishi-Estate,
http://www.wikidata.org/entity/Q305393,,,
http://www.wikidata.org/entity/Q305473,novaquest,,
http://www.wikidata.org/entity/Q305473,quintiles,,
http://www.wikidata.org/entity/Q306457,,Fcuk-1,
http://www.wikidata.org/entity/Q306764,abbott,Abbott-Nutrition,
http://www.wikidata.org/entity/Q306764,solvay-pharmaceuticals,Abbott-Nutrition,
http://www.wikidata.org/entity/Q306764,abbott-laboratories-hematology-division,Abbott-Nutrition,
http://www.wikidata.org/entity/Q309084,alstom,Alstom,
http://www.wikidata.org/entity/Q309865,tele2,Tele2,
http://www.wikidata.org/entity/Q310481,osram,Osram,
http://www.wikidata.org/entity/Q313542,,,
http://www.wikidata.org/entity/Q315287,,,
http://www.wikidata.org/entity/Q317402,,,
http://www.wikidata.org/entity/Q317513,,,
http://www.wikidata.org/entity/Q318670,,,
http://www.wikidata.org/entity/Q319039,,Abengoa,
http://www.wikidata.org/entity/Q319344,abercrombie-fitch-2,Abercrombie-Fitch-company,
http://www.wikidata.org/entity/Q319344,abercrombie-fitch,Abercrombie-Fitch-company,
http://www.wikidata.org/entity/Q319642,chevron,Chevron-company,3
http://www.wikidata.org/entity/Q319642,chevron-technology-ventures,Chevron-company,3
http://www.wikidata.org/entity/Q319730,,,
http://www.wikidata.org/entity/Q319915,,Tarkett,
http://www.wikidata.org/entity/Q320364,,,
http://www.wikidata.org/entity/Q322153,,,
http://www.wikidata.org/entity/Q322320,level-2,,324086
http://www.wikidata.org/entity/Q322320,black-lotus,,324086
http://www.wikidata.org/entity/Q322601,,,
http://www.wikidata.org/entity/Q322962,,Garanti-Bank-company,
http://www.wikidata.org/entity/Q324029,,Hays-Plc,
http://www.wikidata.org/entity/Q324616,ingram-micro,,70
http://www.wikidata.org/entity/Q324846,eurofins,,
http://www.wikidata.org/entity/Q324901,,,
http://www.wikidata.org/entity/Q66,boeing-defense-space-security,Boeing,27
http://www.wikidata.org/entity/Q66,the-boeing-company,Boeing,27
http://www.wikidata.org/entity/Q66,boeing-capital-corporation,Boeing,27
http://www.wikidata.org/entity/Q66,boeing-commercial-airplanes,Boeing,27
http://www.wikidata.org/entity/Q66,boeing-shared-services-group,Boeing,27
http://www.wikidata.org/entity/Q95,google,Google-company-5,151
http://www.wikidata.org/entity/Q95,google-wallet,Google-company-5,151
http://www.wikidata.org/entity/Q95,admob,Google-company-5,151
http://www.wikidata.org/entity/Q95,google-partner,Google-company-5,151
http://www.wikidata.org/entity/Q95,sagor-tafaly,Google-company-5,151
http://www.wikidata.org/entity/Q95,aantex-pest-control,Google-company-5,151
http://www.wikidata.org/entity/Q95,google-for-nonprofits,Google-company-5,151
http://www.wikidata.org/entity/Q95,urchin-software,Google-company-5,151
http://www.wikidata.org/entity/Q248,intel,Integrated-Electronics,61
http://www.wikidata.org/entity/Q248,intel-gold-technology-provider,Integrated-Electronics,61
http://www.wikidata.org/entity/Q248,intel,Intel-company,61
http://www.wikidata.org/entity/Q248,intel-gold-technology-provider,Intel-company,61
http://www.wikidata.org/entity/Q312,apple,Apple-company,
http://www.wikidata.org/entity/Q380,facebook,Facebook-company,
http://www.wikidata.org/entity/Q1418,,Nokia-company,
http://www.wikidata.org/entity/Q1422,,FC-Juventus,
http://www.wikidata.org/entity/Q1422,,Juventus-FC,
http://www.wikidata.org/entity/Q2283,microsoft,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,silverlight,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,microsoft-sql-server,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,microsoft-accelerator,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,microsoft-asia-pacific-group,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,lovemix,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,microsoft-development-center-copenhagen,Microsoft-company-1,
http://www.wikidata.org/entity/Q2283,microsoft-dynamics,Microsoft-company-1,
http://www.wikidata.org/entity/Q2311,airbus-2,Airbus-Group,261779
http://www.wikidata.org/entity/Q2311,airbus-americas-engineering,Airbus-Group,261779
http://www.wikidata.org/entity/Q3312,,Piraeus-BANK,
http://www.wikidata.org/entity/Q3884,amazon,Amazon-company,172
http://www.wikidata.org/entity/Q3884,culting-of-brands,Amazon-company,172
http://www.wikidata.org/entity/Q3884,sleeklighting,Amazon-company,172
http://www.wikidata.org/entity/Q3884,naomi-leff,Amazon-company,172
http://www.wikidata.org/entity/Q3895,,,284066
http://www.wikidata.org/entity/Q4548,,Turkish-Airlines,
http://www.wikidata.org/entity/Q4995,sabmiller-plc,SABMiller,75836
http://www.wikidata.org/entity/Q5281,yandex,Yandex,
http://www.wikidata.org/entity/Q5281,-south-it-ltd,Yandex,
http://www.wikidata.org/entity/Q5281,yandex,Yandex-1,
http://www.wikidata.org/entity/Q5281,-south-it-ltd,Yandex-1,
http://www.wikidata.org/entity/Q6686,,Renault,
http://www.wikidata.org/entity/Q7240,lockheed-martin,Lockheed-Martin-company,58
http://www.wikidata.org/entity/Q7414,the-walt-disney-company,The-Walt-Disney-Company-company-1,68
http://www.wikidata.org/entity/Q7414,disney-media-networks,The-Walt-Disney-Company-company-1,68
http://www.wikidata.org/entity/Q7414,the-walt-disney-company,The-Walt-Disney-Company-company-1,253850
http://www.wikidata.org/entity/Q7414,disney-media-networks,The-Walt-Disney-Company-company-1,253850
http://www.wikidata.org/entity/Q8061,dna-3,DNA-Finland,
http://www.wikidata.org/entity/Q8061,dna-finland-oy,DNA-Finland,
http://www.wikidata.org/entity/Q8061,dna-ltd,DNA-Finland,
http://www.wikidata.org/entity/Q8093,,Nintendo-company,
http://www.wikidata.org/entity/Q8766,,British-Airways,112876
http://www.wikidata.org/entity/Q8774,international-airlines-group,,
http://www.wikidata.org/entity/Q9325,lufthansa,Lufthansa,283523
http://www.wikidata.org/entity/Q9396,t-mobile,Deutsche-Telekom-AG,
http://www.wikidata.org/entity/Q9396,deutsche-telekom,Deutsche-Telekom-AG,
http://www.wikidata.org/entity/Q9401,basf,BASF,
http://www.wikidata.org/entity/Q9401,cognis,BASF,
http://www.wikidata.org/entity/Q9584,honda-automobiles,Honda-company,119149
http://www.wikidata.org/entity/Q11407,,VMware-company,119296
http://www.wikidata.org/entity/Q11463,cosa,,654
http://www.wikidata.org/entity/Q11463,adobe-systems,,654
http://www.wikidata.org/entity/Q11463,frame-technology,,654
http://www.wikidata.org/entity/Q11463,macromedia,,654
http://www.wikidata.org/entity/Q11463,day-software,,654
http://www.wikidata.org/entity/Q11463,antepo,,654
http://www.wikidata.org/entity/Q11463,adobe-ventures,,654
http://www.wikidata.org/entity/Q13683,,NYSE-Euronext,544
http://www.wikidata.org/entity/Q14647,,Sun-Microsystems,185
http://www.wikidata.org/entity/Q14772,baidu,Baidu-company-1,118951
http://www.wikidata.org/entity/Q14799,lenovo,Lenovo,283508
http://www.wikidata.org/entity/Q14799,lenovo,Lenovo,110323
http://www.wikidata.org/entity/Q15805,hutchison-whampoa-limited,,283749
http://www.wikidata.org/entity/Q18224,maersk,Maersk,
http://www.wikidata.org/entity/Q19593,,Celtic-F-C,
http://www.wikidata.org/entity/Q19900,oracle,Oracle-company-1,138
http://www.wikidata.org/entity/Q20165,nissan-motor,Nissan-Motor-Company,147559
http://www.wikidata.org/entity/Q20718,samsung-electronics,Samsung-Electronics,
http://www.wikidata.org/entity/Q20718,samsung-strategy-and-innovation-center,Samsung-Electronics,
http://www.wikidata.org/entity/Q20718,samsung-trkiye,Samsung-Electronics,
http://www.wikidata.org/entity/Q21077,,Warner-Music-Group,618
http://www.wikidata.org/entity/Q23317,,Audi-car-company,161642
http://www.wikidata.org/entity/Q25775,affiliated-managers-group,,
http://www.wikidata.org/entity/Q25796,,,779
http://www.wikidata.org/entity/Q25996,,,
http://www.wikidata.org/entity/Q26049,aetna,,86
http://www.wikidata.org/entity/Q26298,agricultural-bank-of-china,Agricultural-Bank-of-China,283738
http://www.wikidata.org/entity/Q26299,,China-Construction-Bank,43528
http://www.wikidata.org/entity/Q26311,aflac,,166
http://www.wikidata.org/entity/Q26463,,Industrial-and-Commercial-Bank-of-China,280990
http://www.wikidata.org/entity/Q26678,bmw,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,bmw-ventures,BMW-AG,118735
http://www.wikidata.org/entity/Q26678,bmw,BMW-car-company,118735
http://www.wikidata.org/entity/Q26678,bmw-ventures,BMW-car-company,118735
http://www.wikidata.org/entity/Q26694,,Outokumpu,
http://www.wikidata.org/entity/Q26989,infosys,Infosys,
http://www.wikidata.org/entity/Q26989,lodestone-holding,Infosys,
http://www.wikidata.org/entity/Q151694,,,
http://www.wikidata.org/entity/Q152051,bayer-ag-germany,,
http://www.wikidata.org/entity/Q152057,british-petroleum,BP-company,45975
http://www.wikidata.org/entity/Q152057,bp-alternative-energy,BP-company,45975
http://www.wikidata.org/entity/Q152057,bp-corporation,BP-company,45975
http://www.wikidata.org/entity/Q152096,sainsburys-supermarkets-ltd,Sainsburys,
http://www.wikidata.org/entity/Q152433,xerox,Xerox-company,
http://www.wikidata.org/entity/Q152433,xerox-research-centre-india,Xerox-company,
http://www.wikidata.org/entity/Q152695,,,
http://www.wikidata.org/entity/Q152864,,Asus-6,
http://www.wikidata.org/entity/Q152864,,Asus-company,
http://www.wikidata.org/entity/Q153417,kroger,The-Kroger-Co,
http://www.wikidata.org/entity/Q153417,the-kroger-co,The-Kroger-Co,
http://www.wikidata.org/entity/Q154037,total,Total-S-A-1,76799
http://www.wikidata.org/entity/Q154387,iridium,,
http://www.wikidata.org/entity/Q154387,iridium-communications-gmbh,,
http://www.wikidata.org/entity/Q154950,shell,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,royal-dutch-shell,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,shell-technology-ventures,Royal-Dutch-Shell,84758
http://www.wikidata.org/entity/Q154950,shell,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q154950,royal-dutch-shell,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q154950,shell-technology-ventures,Royal-Dutch-Shell-company,84758
http://www.wikidata.org/entity/Q155026,ups,United-Parcel-Service-company,
http://www.wikidata.org/entity/Q155026,ups-strategic-enterprise-fund,United-Parcel-Service-company,
http://www.wikidata.org/entity/Q155026,united-parcel-service,United-Parcel-Service-company,
http://www.wikidata.org/entity/Q156077,,LOreal-2,
http://www.wikidata.org/entity/Q156077,,LOréal-company,
http://www.wikidata.org/entity/Q156238,exxonmobil,,2
http://www.wikidata.org/entity/Q156578,volkswagen-group,Volkswagen-company,284021
http://www.wikidata.org/entity/Q156578,volkswagen-group,Volkswagen-Group,284021
http://www.wikidata.org/entity/Q156644,,,
http://www.wikidata.org/entity/Q156829,,Air-Berlin,
http://www.wikidata.org/entity/Q157064,puma,Puma-company,
http://www.wikidata.org/entity/Q157064,puma,Puma-SE,
http://www.wikidata.org/entity/Q157617,,,
http://www.wikidata.org/entity/Q157645,,,
http://www.wikidata.org/entity/Q157852,,Deutsche-Börse-AG,268385
http://www.wikidata.org/entity/Q158205,,Sanofi,119236
http://www.wikidata.org/entity/Q158888,,Yamaha-Motor-Company,
http://www.wikidata.org/entity/Q159433,3m,3M-company-1,
http://www.wikidata.org/entity/Q159614,epson,Epson-company,
http://www.wikidata.org/entity/Q159614,epson,Seiko-Epson,
http://www.wikidata.org/entity/Q160054,axa-ppp-international,,95868
http://www.wikidata.org/entity/Q160054,axa-ppp-healthcare,,95868
http://www.wikidata.org/entity/Q160229,,,73772
http://www.wikidata.org/entity/Q160746,,Nestlé,101413
http://www.wikidata.org/entity/Q161086,,JetBlue-Airways-airline,
http://www.wikidata.org/entity/Q161140,diageo,Diageo-company,69294
http://www.wikidata.org/entity/Q161833,,Leica-Camera-2,
http://www.wikidata.org/entity/Q162345,lg,,
http://www.wikidata.org/entity/Q162852,surveymonkey,SurveyMonkey,
http://www.wikidata.org/entity/Q163241,continental-ag,Continental-AG,
http://www.wikidata.org/entity/Q163241,elektrobit,Continental-AG,
http://www.wikidata.org/entity/Q163560,,Axel-Springer-company,
http://www.wikidata.org/entity/Q163566,,KUKA-Robotics,
http://www.wikidata.org/entity/Q163810,ab-volvo,Volvo-car-company,283526
http://www.wikidata.org/entity/Q163810,volvo-group-venture-capital,Volvo-car-company,283526
http://www.wikidata.org/entity/Q164740,fujifilm,Fujifilm,
http://www.wikidata.org/entity/Q165684,rogers-communications-inc,,
http://www.wikidata.org/entity/Q165858,telus,Telus,
http://www.wikidata.org/entity/Q166621,,Mizuho-Financial-Group,
http://www.wikidata.org/entity/Q166873,,,
http://www.wikidata.org/entity/Q168115,,,
http://www.wikidata.org/entity/Q168238,,OMV-1,
http://www.wikidata.org/entity/Q169167,,Metro-AG,228182
http://www.wikidata.org/entity/Q169339,,Glencore-company,93387
http://www.wikidata.org/entity/Q169747,,,
http://www.wikidata.org/entity/Q170416,philips-consumer-lifestyle,Philips,
http://www.wikidata.org/entity/Q170416,philips-uk,Philips,
http://www.wikidata.org/entity/Q170614,ryanair,Ryanair,
http://www.wikidata.org/entity/Q173395,cisco,Cisco-company,
http://www.wikidata.org/entity/Q173395,neopath-networks,Cisco-company,
http://www.wikidata.org/entity/Q173395,thinksmart-technologies,Cisco-company,
http://www.wikidata.org/entity/Q173395,altiga-networks,Cisco-company,
http://www.wikidata.org/entity/Q173395,cloudlock,Cisco-company,
http://www.wikidata.org/entity/Q173395,scientific-atlanta,Cisco-company,
http://www.wikidata.org/entity/Q173476,cummins,Cummins-1,
http://www.wikidata.org/entity/Q173476,cummins,Cummins-company,
http://www.wikidata.org/entity/Q173941,command-conquer,Electronic-Arts-company,663
http://www.wikidata.org/entity/Q173941,electronicarts,Electronic-Arts-company,663
http://www.wikidata.org/entity/Q173941,ea-mobile,Electronic-Arts-company,663
http://www.wikidata.org/entity/Q173941,nba-jam--on-fire-edition,Electronic-Arts-company,663
http://www.wikidata.org/entity/Q174198,gartner,Gartner-company,90526
http://www.wikidata.org/entity/Q174310,nordstrom,Nordstrom-company,
http://www.wikidata.org/entity/Q174769,united-airlines-2,United-Airlines,112854
http://www.wikidata.org/entity/Q175106,tim-hortons,Tim-Hortons,
http://www.wikidata.org/entity/Q175835,sartorius,,
http://www.wikidata.org/entity/Q176508,,,
http://www.wikidata.org/entity/Q176572,,,
http://www.wikidata.org/entity/Q176587,check-point,Check-Point,118955
http://www.wikidata.org/entity/Q176587,sofaware,Check-Point,118955
http://www.wikidata.org/entity/Q176712,,Computershare,
http://www.wikidata.org/entity/Q177814,,Suez-Environnement,219339
http://www.wikidata.org/entity/Q178576,,,
http://www.wikidata.org/entity/Q178778,ricoh-japan,Ricoh,
http://www.wikidata.org/entity/Q179433,,Bridgestone,
http://www.wikidata.org/entity/Q180106,owens-illinois,,
http://www.wikidata.org/entity/Q180476,,,
http://www.wikidata.org/entity/Q180855,heineken,Heineken-International,
http://www.wikidata.org/entity/Q180922,cae,,
http://www.wikidata.org/entity/Q193412,texas-instruments,,186
http://www.wikidata.org/entity/Q194360,americanexpress,American-Express-Bank,
http://www.wikidata.org/entity/Q194360,americanexpress,American-Express-company-1,
http://www.wikidata.org/entity/Q196259,,NetEase-1,
http://www.wikidata.org/entity/Q196808,,,
http://www.wikidata.org/entity/Q197802,,,
http://www.wikidata.org/entity/Q197914,,,
http://www.wikidata.org/entity/Q200687,brambles,Brambles-Limited,
http://www.wikidata.org/entity/Q201691,beiersdorf,Beiersdorf,
http://www.wikidata.org/entity/Q201821,finnair-denmark,Finnair,
http://www.wikidata.org/entity/Q201850,,,
http://www.wikidata.org/entity/Q202210,gamestop,GameStop-company,
http://www.wikidata.org/entity/Q202841,,Zijin-Mining,
http://www.wikidata.org/entity/Q202972,international-paper,,115
http://www.wikidata.org/entity/Q203552,zimmer-holdings,Zimmer-Biomet,869
