business,grididLabel,opencorporatesLabel,crunchbaseLabel,quoraLabel,littlesisLabel
http://www.wikidata.org/entity/Q160054,grid.497919.b,,axa-ppp-healthcare,,95868
http://www.wikidata.org/entity/Q160120,grid.453400.6,,huawei,Huawei-company,164492
http://www.wikidata.org/entity/Q160126,grid.421658.c,,,Royal-Bank-of-Scotland,
http://www.wikidata.org/entity/Q160126,grid.421658.c,,,The-Royal-Bank-of-Scotland-Group,
http://www.wikidata.org/entity/Q160229,grid.426313.1,,,,73772
http://www.wikidata.org/entity/Q161140,grid.473036.5,gb/00023307,diageo,Diageo-company,69294
http://www.wikidata.org/entity/Q161168,,,,,
http://www.wikidata.org/entity/Q161833,,,,Leica-Camera-2,
http://www.wikidata.org/entity/Q161906,,,oakley-sunglasses,Oakley-company,
http://www.wikidata.org/entity/Q162257,grid.471189.2,jp/1010401010455,,,
http://www.wikidata.org/entity/Q162345,grid.454259.b,,lg,,
http://www.wikidata.org/entity/Q163327,grid.423975.e,,,Mondragon-company,
http://www.wikidata.org/entity/Q163580,,,,,
http://www.wikidata.org/entity/Q207922,,,atari,Atari-company,
http://www.wikidata.org/entity/Q207922,,,atari,Atari-Games,
http://www.wikidata.org/entity/Q208305,,,,Commodore-International,
http://www.wikidata.org/entity/Q209039,grid.454193.e,,,,
http://www.wikidata.org/entity/Q210057,,,,Netscape,
http://www.wikidata.org/entity/Q210075,,,borland,Borland-company,
http://www.wikidata.org/entity/Q210075,,,borland,Borland-Software-Corporation,
http://www.wikidata.org/entity/Q211237,,,,Computacenter,
http://www.wikidata.org/entity/Q211464,,,indusoft,Invensys,
http://www.wikidata.org/entity/Q211464,,,invensys,Invensys,
http://www.wikidata.org/entity/Q211906,,dk/83933410,,Brøndby-IF,
http://www.wikidata.org/entity/Q211951,,gb/04006623,,ASOS-company,
http://www.wikidata.org/entity/Q212076,,,,,
http://www.wikidata.org/entity/Q212116,grid.471089.3,jp/3090001010053,,Fanuc,
http://www.wikidata.org/entity/Q212235,grid.467144.4,,american-international-group,American-International-Group,13
http://www.wikidata.org/entity/Q212405,grid.418758.7,,procter-and-gamble,Proctor-and-Gamble-company,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,avaya,Avaya,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,esna-technologies,Avaya,
http://www.wikidata.org/entity/Q212433,grid.467237.3,,aviva-group,Avaya,
http://www.wikidata.org/entity/Q214036,,,,,
http://www.wikidata.org/entity/Q214346,,,,,
http://www.wikidata.org/entity/Q214763,grid.453595.b,,conocophillips,ConocoPhillips-company-1,5
http://www.wikidata.org/entity/Q215363,grid.502680.9,se/556033-4285,sveriges-television,Sveriges-Television,
http://www.wikidata.org/entity/Q215363,grid.502680.9,se/556033-4285,sveriges-television,Sveriges-Television-AB,
http://www.wikidata.org/entity/Q215363,grid.502680.9,se/556033-4285,sveriges-television,Sveriges-Television-SVT,
http://www.wikidata.org/entity/Q215901,grid.471284.c,,,,
http://www.wikidata.org/entity/Q216272,grid.420283.f,us_ca/C2882103,23andme,23andMe-company,326753
http://www.wikidata.org/entity/Q217322,,,,,
http://www.wikidata.org/entity/Q217583,grid.453844.a,,berkshire-hathaway-corp,Berkshire-Hathaway-company,
http://www.wikidata.org/entity/Q218671,,,ge-transportation,,
http://www.wikidata.org/entity/Q218715,,,,,
http://www.wikidata.org/entity/Q218746,,,,,
http://www.wikidata.org/entity/Q219203,grid.420377.5,jp/7010401022916,nec,NEC,
http://www.wikidata.org/entity/Q219203,grid.420377.5,jp/7010401022916,nec,NEC-company,
http://www.wikidata.org/entity/Q219508,grid.466589.0,,citigroup,Citigroup-company,8
http://www.wikidata.org/entity/Q220485,,,,Zoran-Corporation,
http://www.wikidata.org/entity/Q220874,,,,,
http://www.wikidata.org/entity/Q221062,grid.416832.a,,,DuPont-company-1,
http://www.wikidata.org/entity/Q221419,,,,,
http://www.wikidata.org/entity/Q221692,grid.502073.3,,,,
http://www.wikidata.org/entity/Q221869,,,,,
http://www.wikidata.org/entity/Q222045,,,,2K-Czech,
http://www.wikidata.org/entity/Q223127,grid.480304.b,,logitech,Logitech,
http://www.wikidata.org/entity/Q223215,,,,,
http://www.wikidata.org/entity/Q223407,,,novell,,
http://www.wikidata.org/entity/Q224751,,,,,
http://www.wikidata.org/entity/Q224843,,,,,
http://www.wikidata.org/entity/Q226746,,,,,
http://www.wikidata.org/entity/Q226889,,,,,
http://www.wikidata.org/entity/Q226908,,,,,
http://www.wikidata.org/entity/Q228157,,,,,
http://www.wikidata.org/entity/Q228207,,,,,
http://www.wikidata.org/entity/Q229299,,,,,
http://www.wikidata.org/entity/Q229329,,,3com,3Com,
http://www.wikidata.org/entity/Q229459,,,3d-realms,3D-Realms,
http://www.wikidata.org/entity/Q229459,,,apogee-software,3D-Realms,
http://www.wikidata.org/entity/Q229502,,,,,
http://www.wikidata.org/entity/Q229652,,,,,
http://www.wikidata.org/entity/Q229698,,,,3dfx-Interactive,
http://www.wikidata.org/entity/Q229698,,,,3dfx-Interactive-company,
http://www.wikidata.org/entity/Q230051,,,alexa,Alexa,
http://www.wikidata.org/entity/Q230051,,,alexa,Alexa-company,
http://www.wikidata.org/entity/Q231839,,,,,
http://www.wikidata.org/entity/Q231843,,,,,
http://www.wikidata.org/entity/Q234803,,,rolls-royce,ROLLS-ROYCE-16,
http://www.wikidata.org/entity/Q234803,,,rolls-royce-energy,ROLLS-ROYCE-16,
http://www.wikidata.org/entity/Q234803,,,rolls-royce,Rolls-Royce-Motor-Cars-car-company,
http://www.wikidata.org/entity/Q234803,,,rolls-royce-energy,Rolls-Royce-Motor-Cars-car-company,
http://www.wikidata.org/entity/Q234946,,,,Macromedia,
http://www.wikidata.org/entity/Q238620,,,,,
http://www.wikidata.org/entity/Q238765,grid.421454.2,,atk,,
http://www.wikidata.org/entity/Q238765,grid.421454.2,,alliant-techsystems,,
http://www.wikidata.org/entity/Q239162,,,,,
http://www.wikidata.org/entity/Q239233,,,,,
http://www.wikidata.org/entity/Q239372,grid.471082.8,,,,
http://www.wikidata.org/entity/Q240333,,,,Actel,
http://www.wikidata.org/entity/Q241295,,,,Miss-Sixty,
http://www.wikidata.org/entity/Q241465,,,,,
http://www.wikidata.org/entity/Q241828,,,,,
http://www.wikidata.org/entity/Q243673,,,,,
http://www.wikidata.org/entity/Q244736,,,,,
http://www.wikidata.org/entity/Q245283,,,,,
http://www.wikidata.org/entity/Q245772,grid.497240.c,,zynga,,
http://www.wikidata.org/entity/Q246125,,,skype,,
http://www.wikidata.org/entity/Q246921,grid.454962.8,,,,
http://www.wikidata.org/entity/Q247489,grid.417993.1,,merck-co-inc,,
http://www.wikidata.org/entity/Q247489,grid.417993.1,,merck-global-health-innovation-fund,,
http://www.wikidata.org/entity/Q247489,grid.417993.1,,merck-research-laboratories,,
http://www.wikidata.org/entity/Q247927,,,,,
http://www.wikidata.org/entity/Q247941,,,,,
http://www.wikidata.org/entity/Q248294,,,alesis,Alesis,
http://www.wikidata.org/entity/Q248711,grid.434547.5,,,FrieslandCampina,
http://www.wikidata.org/entity/Q249336,,,,,
http://www.wikidata.org/entity/Q249525,,jp/6011101058111,,,
http://www.wikidata.org/entity/Q249850,grid.434731.6,,,,
http://www.wikidata.org/entity/Q250362,,,,Israel-Discount-Bank,
http://www.wikidata.org/entity/Q251486,,,,,
http://www.wikidata.org/entity/Q251546,,,,Novatek,
http://www.wikidata.org/entity/Q251740,,,,Russian-Standard,
http://www.wikidata.org/entity/Q253423,,se/556610-8055,,Lundin-Petroleum,
http://www.wikidata.org/entity/Q674093,,pl/0000010260,,Bank-BPH,
