business,twitterLabel,youtubeLabel,facebookLabel,instagramLabel
http://www.wikidata.org/entity/Q163566,KUKA_Press,,KUKAGlobal,
http://www.wikidata.org/entity/Q163566,KUKA_UK,,KUKAGlobal,
http://www.wikidata.org/entity/Q163566,KUKAGlobal,,KUKAGlobal,
http://www.wikidata.org/entity/Q163810,VolvoCarUK,,,volvocars
http://www.wikidata.org/entity/Q163810,VolvoCarUSA,,,volvocars
http://www.wikidata.org/entity/Q164740,FujifilmJP_PR,,FujifilmJapan,
http://www.wikidata.org/entity/Q165684,aboutrogers,,Rogers,rogers
http://www.wikidata.org/entity/Q165858,TELUS,,telus,
http://www.wikidata.org/entity/Q166621,mizuhofg_promo,,,
http://www.wikidata.org/entity/Q166873,,,,
http://www.wikidata.org/entity/Q168115,,UCv67hSwg5GajLZDZM_vyEKQ,,
http://www.wikidata.org/entity/Q168238,omv,UC28qr2YwWVvk44-JzuvUA1A,OMV,omv
http://www.wikidata.org/entity/Q169167,,,,
http://www.wikidata.org/entity/Q169339,Glencore,UCpnas3ffN8nYp0lrOZdwVYw,Glencore,glencoreplc
http://www.wikidata.org/entity/Q169747,,,,
http://www.wikidata.org/entity/Q170416,Philips,UCgZneuDnLKItwzVkXLI_rUA,Philips,philips
http://www.wikidata.org/entity/Q170416,Philips,UCgZneuDnLKItwzVkXLI_rUA,Philips.DACH,philips
http://www.wikidata.org/entity/Q170614,Ryanair,,ryanair,ryanair
http://www.wikidata.org/entity/Q173395,Cisco,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoCollab,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoCX,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,ciscoDC,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoIT,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoLive,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoNetAcad,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoNetworking,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoPartners,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoPress,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoSecure,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,HeyCisco,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,LearningatCisco,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,Cisco_Germany,UCEWiIE6Htd8mvlOR6YQez1g,cisco,cisco
http://www.wikidata.org/entity/Q173395,Cisco,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoCollab,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoCX,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,ciscoDC,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoIT,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoLive,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoNetAcad,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q173395,CiscoNetworking,UCkIf6uVeNc-5Peya-WTmcuA,cisco,cisco
http://www.wikidata.org/entity/Q49053,SchneiderElec,UCnpqjEw2RHDBNVGDe8pI7tw,SchneiderElectric,schneiderelectric
http://www.wikidata.org/entity/Q49125,toshibausa,UCDpJVj6X4x7pTLHwAkDdkiw,ToshibaUSA,toshibausa
http://www.wikidata.org/entity/Q50595,ygent_official,,ygfamily,yg_ent_official
http://www.wikidata.org/entity/Q50912,AkzoNobel,,AkzoNobel,akzonobel
http://www.wikidata.org/entity/Q51744,,,,
http://www.wikidata.org/entity/Q51747,airchina,,airchina,
http://www.wikidata.org/entity/Q52601,,,,
http://www.wikidata.org/entity/Q52618,EricssonJapan,,EricssonJapan,
http://www.wikidata.org/entity/Q52825,ABBgroupnews,,ABB,abbgroup
http://www.wikidata.org/entity/Q52846,skfgroup,UCzI9rQSGpgoF7BGS0Cqc_zQ,SKFLAM,skfgroup
