business,twitterLabel,youtubeLabel,facebookLabel,instagramLabel
http://www.wikidata.org/entity/Q37158,Starbucksnews,UCj4nCgtjKJppK_IZeY8TUJg,Starbucks,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksTR,UCj4nCgtjKJppK_IZeY8TUJg,Starbucks,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksUK,UCj4nCgtjKJppK_IZeY8TUJg,Starbucks,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,Starbucks,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,SbuxIndonesia,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,starbucks_es,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,Starbucks_J,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksAr,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksBrasil,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksCanada,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksDE,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksFrance,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksIndia,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksJobs,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksMex,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksMY,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,Starbucksnews,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksTR,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q37158,StarbucksUK,UCj4nCgtjKJppK_IZeY8TUJg,StarbucksMagyarorszag,starbucksmagyarorszag
http://www.wikidata.org/entity/Q38076,mcdonalds,UCRI5ZedBs0_BYY4PlxD6m7w,mcdonalds,mcdonalds
http://www.wikidata.org/entity/Q38676,agnicoeagle,UC6333l5LlXemqo7luRJyBdA,AgnicoEagle,
http://www.wikidata.org/entity/Q38928,pncbank,,pncbank,pncbank
http://www.wikidata.org/entity/Q38960,,,CITICFanPage,
http://www.wikidata.org/entity/Q39064,canonical,UCJ65UG_WgFa_O_odbiBWZoA,Canonical-125818784107695,
http://www.wikidata.org/entity/Q39064,UbuntuWantsYou,UCJ65UG_WgFa_O_odbiBWZoA,Canonical-125818784107695,
http://www.wikidata.org/entity/Q39586,,,,
http://www.wikidata.org/entity/Q40987,,,,
http://www.wikidata.org/entity/Q41187,sony_jpn,UCVjS9AuBloqJJjhsy3vIfug,sony.jpn,sonyturkiye
http://www.wikidata.org/entity/Q41187,SonyUK,UCVjS9AuBloqJJjhsy3vIfug,sony.jpn,sonyturkiye
http://www.wikidata.org/entity/Q44092,,,,
http://www.wikidata.org/entity/Q44504,inditexgroup,,inditexgroup,inditexcareers
http://www.wikidata.org/entity/Q45464,tatratrucks,,,
http://www.wikidata.org/entity/Q45557,flsmidth,,flsmidthgroup,flsmidthgroup
http://www.wikidata.org/entity/Q45576,Novozymes,,,
http://www.wikidata.org/entity/Q46468,,,,
http://www.wikidata.org/entity/Q46719,,,,
http://www.wikidata.org/entity/Q47099,televisa,UCUsm-fannqOY02PNN67C0KA,NoticierosTelevisacom,noticierostelevisa
http://www.wikidata.org/entity/Q48593,,,,
http://www.wikidata.org/entity/Q48754,ppg,UCZgwAKb_gxV8rpI3Fbzi9fQ,ppgindustries,ppgindustries
http://www.wikidata.org/entity/Q48755,,,,
http://www.wikidata.org/entity/Q48822,Valspar,,ValsparCompany,valsparpaint
http://www.wikidata.org/entity/Q48872,eatoncorp,,eatoncorporation,
http://www.wikidata.org/entity/Q48881,SherwinWilliams,,SherwinWilliamsforYourHome,sherwinwilliams
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCprhOSxPzPUJLSUZS2VJpiA,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,panasonicde,UCprhOSxPzPUJLSUZS2VJpiA,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,panasonic,UCR2kmEM91_XXsnVAZyw06HQ,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCR2kmEM91_XXsnVAZyw06HQ,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCR2kmEM91_XXsnVAZyw06HQ,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCR2kmEM91_XXsnVAZyw06HQ,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,panasonicde,UCR2kmEM91_XXsnVAZyw06HQ,panasonic.deutschland,panasonic_de
http://www.wikidata.org/entity/Q53247,panasonic,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCZgyCsZQLFF30TCs4uaZFKw,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonic,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCprhOSxPzPUJLSUZS2VJpiA,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonic,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCR2kmEM91_XXsnVAZyw06HQ,LUMIX.Taiwan,lumixuk
http://www.wikidata.org/entity/Q53247,panasonic,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCZgyCsZQLFF30TCs4uaZFKw,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,panasonic,UCprhOSxPzPUJLSUZS2VJpiA,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCprhOSxPzPUJLSUZS2VJpiA,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCprhOSxPzPUJLSUZS2VJpiA,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCprhOSxPzPUJLSUZS2VJpiA,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCprhOSxPzPUJLSUZS2VJpiA,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,panasonic,UCR2kmEM91_XXsnVAZyw06HQ,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,Panasonic_cp,UCR2kmEM91_XXsnVAZyw06HQ,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicNA,UCR2kmEM91_XXsnVAZyw06HQ,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,PanasonicUK,UCR2kmEM91_XXsnVAZyw06HQ,PanasonicUK,lumixuk
http://www.wikidata.org/entity/Q53247,panasonicde,UCR2kmEM91_XXsnVAZyw06HQ,PanasonicUK,lumixuk
